操作日期,操作类型,成交价格,成交数量,成交后持仓,持仓金额,成交后现金,总金额,手续费
2024-12-26,买入,29.83,3184.8908926246636,3184.8908926246636,95000.00,4995.25,100184.68,4.75
2025-01-02,卖出,28.73,-3184.8908926246636,0.0,0.00,96486.19,96486.19,4.57
2025-01-20,买入,27.31,3385.7914048449147,3385.7914048449147,92467.40,4014.16,95978.11,4.62
2025-03-04,卖出,26.98,-3385.7914048449147,0.0,0.00,95369.40,95369.40,4.57
2025-03-17,买入,27.93,3255.9924927189763,3255.9924927189763,90955.98,4408.88,94332.00,4.55
2025-03-25,卖出,26.96,-3255.9924927189763,0.0,0.00,92197.34,92197.34,4.39
2025-04-22,买入,24.98,3502.014078828719,3502.014078828719,87483.33,4709.64,91776.38,4.37
2025-05-27,卖出,25.37,-3502.014078828719,0.0,0.00,93542.43,93542.43,4.44
2025-06-06,买入,25.95,3424.1735190427466,3424.1735190427466,88865.31,4672.68,92859.11,4.44
2025-06-23,卖出,25.56,-3424.1735190427466,0.0,0.00,92175.86,92175.86,4.38
2025-06-25,买入,26.71,3282.6170787306028,3282.6170787306028,87664.68,4506.79,95718.41,4.38
2025-07-21,卖出,28.20,-3282.6170787306028,0.0,0.00,97080.49,97080.49,4.63
2025-07-22,买入,28.65,3219.221561954325,3219.221561954325,92226.47,4849.41,97171.62,4.61
2025-08-04,卖出,28.40,-3219.221561954325,0.0,0.00,96273.50,96273.50,4.57
2025-08-18,买入,30.92,2966.628227491111,2966.628227491111,91724.50,4544.41,97768.74,4.59
2025-09-02,卖出,31.20,-2966.628227491111,0.0,0.00,97098.59,97098.59,4.63
2025-09-30,买入,30.28,3033.3330325739303,3033.3330325739303,91849.32,5244.67,95941.33,4.59
