操作日期,操作类型,成交价格,成交数量,成交后持仓,持仓金额,成交后现金,总金额,手续费
2023-03-24,买入,4035.16,23.52015225213504,23.52015225213504,94907.49,5087.76,99804.49,4.75
2023-04-24,卖出,4031.30,-23.52015225213504,0.0,0.00,99899.88,99899.88,4.74
2023-06-12,买入,3827.33,24.736055165252555,24.736055165252555,94672.93,5222.22,100318.31,4.73
2023-07-21,卖出,3816.98,-24.736055165252555,0.0,0.00,99634.61,99634.61,4.72
2023-07-26,买入,3908.17,24.176269041329867,24.176269041329867,94485.07,5144.82,99601.81,4.72
2023-08-14,卖出,3840.89,-24.176269041329867,0.0,0.00,97998.50,97998.50,4.64
2023-09-04,买入,3812.99,24.554606751806457,24.554606751806457,93626.40,4367.42,98876.91,4.68
2023-09-15,卖出,3740.79,-24.554606751806457,0.0,0.00,96216.33,96216.33,4.59
2023-09-26,买入,3711.71,24.607071271716137,24.607071271716137,91334.33,4877.44,95748.72,4.57
2023-09-27,卖出,3694.96,-24.607071271716137,0.0,0.00,95795.06,95795.06,4.55
2023-09-28,买入,3711.21,24.592737762092433,24.592737762092433,91268.86,4521.64,95256.97,4.56
2023-10-09,卖出,3678.93,-24.592737762092433,0.0,0.00,94992.05,94992.05,4.52
2023-10-13,买入,3677.96,24.37415603483238,24.37415603483238,89647.13,5340.43,94632.97,4.48
2023-10-17,卖出,3635.30,-24.37415603483238,0.0,0.00,93943.36,93943.36,4.43
2023-10-31,买入,3581.68,24.902865926971412,24.902865926971412,89193.99,4744.90,93710.53,4.46
2023-11-27,卖出,3534.44,-24.902865926971412,0.0,0.00,92758.30,92758.30,4.40
2023-12-26,买入,3345.40,26.324624017617683,26.324624017617683,88066.27,4687.62,92211.48,4.40
2024-01-11,卖出,3275.31,-26.324624017617683,0.0,0.00,90904.58,90904.58,4.31
2024-01-17,买入,3291.14,26.162554004726484,26.162554004726484,86104.61,4795.67,89276.70,4.31
2024-01-18,卖出,3214.28,-26.162554004726484,0.0,0.00,88885.35,88885.35,4.20
2024-01-25,买入,3274.34,25.76694520407843,25.76694520407843,84369.72,4511.42,90648.23,4.22
