操作日期,操作类型,成交价格,成交数量,成交后持仓,持仓金额,成交后现金,总金额,手续费
2023-03-02,买入,4119.99,23.019468533779797,23.019468533779797,94840.02,5155.23,99943.37,4.74
2023-03-08,卖出,4030.74,-23.019468533779797,0.0,0.00,97936.06,97936.06,4.64
2023-03-22,买入,3993.78,23.362737025302,23.362737025302,93305.75,4625.65,98063.57,4.67
2023-04-13,卖出,4081.39,-23.362737025302,0.0,0.00,99973.25,99973.25,4.77
2023-04-18,买入,4139.31,22.8888428547719,22.8888428547719,94743.99,5224.53,100488.62,4.74
2023-04-21,卖出,4114.26,-22.8888428547719,0.0,0.00,99390.56,99390.56,4.71
2023-05-05,买入,4031.09,23.42810094610929,23.42810094610929,94440.89,4944.95,99052.76,4.72
2023-05-12,卖出,3987.77,-23.42810094610929,0.0,0.00,98366.13,98366.13,4.67
2023-05-23,买入,3968.23,23.542482401314725,23.542482401314725,93422.09,4939.37,97065.53,4.67
2023-05-24,卖出,3903.78,-23.542482401314725,0.0,0.00,96839.49,96839.49,4.60
2023-06-05,买入,3860.56,23.82223619176358,23.82223619176358,91967.07,4867.82,96446.43,4.60
2023-06-26,卖出,3833.44,-23.82223619176358,0.0,0.00,96184.45,96184.45,4.57
2023-07-04,买入,3888.03,23.472385930874342,23.472385930874342,91261.41,4918.48,96437.63,4.56
2023-07-07,卖出,3831.60,-23.472385930874342,0.0,0.00,94850.68,94850.68,4.50
2023-07-12,买入,3864.60,23.286849885033206,23.286849885033206,89994.39,4851.79,94353.32,4.50
2023-07-13,卖出,3855.66,-23.286849885033206,0.0,0.00,94633.52,94633.52,4.49
2023-07-14,买入,3904.60,23.061080067405857,23.061080067405857,90044.37,4584.65,94502.17,4.50
2023-07-19,卖出,3848.48,-23.061080067405857,0.0,0.00,93330.37,93330.37,4.44
2023-07-26,买入,3908.17,22.646550443808874,22.646550443808874,88506.66,4819.29,93299.65,4.43
2023-08-08,卖出,3980.04,-22.646550443808874,0.0,0.00,94949.01,94949.01,4.51
2023-08-29,买入,3743.05,24.03695970867151,24.03695970867151,89971.62,4972.89,96075.53,4.50
2023-09-11,卖出,3740.58,-24.03695970867151,0.0,0.00,94880.68,94880.68,4.50
2023-09-25,买入,3738.06,24.107585972452895,24.107585972452895,90115.66,4760.51,94310.64,4.51
2023-10-11,卖出,3674.75,-24.107585972452895,0.0,0.00,93345.47,93345.47,4.43
2023-10-13,买入,3677.96,23.951657720370758,23.951657720370758,88093.20,5247.86,92992.61,4.40
2023-10-17,卖出,3635.30,-23.951657720370758,0.0,0.00,92314.96,92314.96,4.35
2023-10-27,买入,3501.17,24.956059670643544,24.956059670643544,87375.43,4935.15,93838.25,4.37
2023-11-14,卖出,3581.10,-24.956059670643544,0.0,0.00,94300.92,94300.92,4.47
2023-12-12,买入,3410.00,26.198875258689892,26.198875258689892,89338.10,4958.35,94736.73,4.47
2023-12-15,卖出,3365.94,-26.198875258689892,0.0,0.00,93137.75,93137.75,4.41
2023-12-22,买入,3329.47,26.563890612625936,26.563890612625936,88443.59,4689.73,93339.50,4.42
2024-01-08,卖出,3322.61,-26.563890612625936,0.0,0.00,92946.64,92946.64,4.41
2024-01-17,买入,3291.14,26.75026338553812,26.75026338553812,88038.84,4903.40,91282.19,4.40
2024-01-18,卖出,3214.28,-26.75026338553812,0.0,0.00,90882.05,90882.05,4.30
2024-01-22,买入,3262.47,26.40484912759433,26.40484912759433,86144.99,4732.76,89727.37,4.31
2024-01-23,卖出,3208.43,-26.40484912759433,0.0,0.00,89446.67,89446.67,4.24
2024-01-25,买入,3274.34,25.929666084963177,25.929666084963177,84902.52,4539.91,91220.68,4.25
2024-02-01,卖出,3202.26,-25.929666084963177,0.0,0.00,87569.20,87569.20,4.15
