日期,周期ID,操作类型,成交价格,操作数量,操作金额,操作后持仓,操作后市值,距上次调仓天数,触发涨跌幅,目标金额,手续费
2021-01-04,Cycle_1,初始建仓,5267.72,1.9,10008.66,1.9,10008.66,0,0.00%,10000.00,0.50
2021-01-04,Cycle_2,初始建仓,5267.72,3.8,20017.33,3.8,20017.33,0,0.00%,20000.00,1.00
2021-01-04,Cycle_3,初始建仓,5267.72,5.7,30025.99,5.7,30025.99,0,0.00%,30000.00,1.50
2021-01-04,Cycle_4,初始建仓,5267.72,7.59,39981.98,7.59,39981.98,0,0.00%,40000.00,2.00
2021-01-06,Cycle_1,减仓,5417.67,-0.04,-216.71,1.8599999999999999,10076.86,2,2.85%,10055.60,0.01
2021-01-07,Cycle_2,减仓,5513.66,-0.13,-716.78,3.67,20235.12,3,4.67%,20216.80,0.04
2021-01-12,Cycle_1,减仓,5596.35,-0.06,-335.78,1.7999999999999998,10073.43,4,3.30%,10061.20,0.02
2021-01-14,Cycle_1,补仓,5470.46,0.03,164.11,1.8299999999999998,10010.94,2,-2.25%,10005.60,0.01
2021-01-25,Cycle_1,减仓,5625.92,-0.04,-225.04,1.7899999999999998,10070.40,7,2.84%,10069.60,0.01
2021-01-26,Cycle_1,补仓,5512.97,0.02,110.26,1.8099999999999998,9978.47,1,-2.01%,10002.80,0.01
2021-01-28,Cycle_1,补仓,5377.14,0.05,268.86,1.8599999999999999,10001.49,2,-2.46%,10005.60,0.01
2021-02-02,Cycle_1,减仓,5501.09,-0.03,-165.03,1.8299999999999998,10067.00,3,2.31%,10058.40,0.01
2021-02-09,Cycle_1,减仓,5686.25,-0.06,-341.18,1.7699999999999998,10064.66,5,3.37%,10064.00,0.02
2021-02-10,Cycle_1,减仓,5807.72,-0.04,-232.31,1.7299999999999998,10047.35,1,2.14%,10052.80,0.01
2021-02-10,Cycle_2,减仓,5807.72,-0.17,-987.31,3.5,20327.02,24,5.33%,20334.40,0.05
2021-02-10,Cycle_3,减仓,5807.72,-0.39,-2265.01,5.3100000000000005,30838.99,27,10.25%,30826.80,0.11
2021-02-22,Cycle_1,补仓,5597.33,0.06,335.84,1.7899999999999998,10019.23,3,-3.62%,10008.40,0.02
2021-02-24,Cycle_1,补仓,5437.57,0.05,271.88,1.8399999999999999,10005.13,2,-2.85%,10005.60,0.01
2021-02-24,Cycle_2,补仓,5437.57,0.18,978.76,3.68,20010.25,5,-6.37%,20028.00,0.05
2021-02-26,Cycle_3,补仓,5336.76,0.32,1707.76,5.630000000000001,30045.96,7,-8.11%,30058.80,0.09
2021-03-04,Cycle_1,补仓,5280.71,0.06,316.84,1.9,10033.34,6,-2.88%,10016.80,0.02
2021-03-08,Cycle_1,补仓,5080.02,0.07,355.60,1.97,10007.65,2,-3.80%,10005.60,0.02
2021-03-08,Cycle_2,补仓,5080.02,0.27,1371.61,3.95,20066.10,8,-6.58%,20044.80,0.07
2021-03-09,Cycle_1,补仓,4971.00,0.04,198.84,2.01,9991.71,1,-2.15%,10002.80,0.01
2021-03-11,Cycle_1,减仓,5128.22,-0.05,-256.41,1.9599999999999997,10051.30,2,3.16%,10055.60,0.01
2021-03-19,Cycle_1,补仓,5007.09,0.04,200.28,1.9999999999999998,10014.18,6,-2.36%,10016.80,0.01
2021-04-01,Cycle_1,减仓,5110.78,-0.03,-153.32,1.9699999999999998,10068.23,9,2.07%,10075.20,0.01
2021-04-12,Cycle_1,补仓,4947.75,0.05,247.39,2.0199999999999996,9994.45,6,-3.19%,10016.80,0.01
2021-04-19,Cycle_1,减仓,5087.02,-0.04,-203.48,1.9799999999999995,10072.29,5,2.81%,10064.00,0.01
2021-05-25,Cycle_1,减仓,5318.48,-0.08,-425.48,1.8999999999999995,10105.11,23,4.55%,10114.40,0.02
2021-05-25,Cycle_2,减仓,5318.48,-0.1,-531.85,3.85,20476.14,52,4.69%,20491.20,0.03
2021-06-15,Cycle_1,补仓,5166.56,0.04,206.66,1.9399999999999995,10023.13,14,-2.86%,10039.20,0.01
2021-06-16,Cycle_2,补仓,5080.49,0.1,508.05,3.95,20067.94,15,-4.47%,20084.00,0.03
2021-07-26,Cycle_1,补仓,4925.30,0.11,541.78,2.0499999999999994,10096.86,29,-4.67%,10081.20,0.03
2021-07-27,Cycle_1,补仓,4751.31,0.06,285.08,2.1099999999999994,10025.27,1,-3.53%,10002.80,0.01
2021-07-27,Cycle_2,补仓,4751.31,0.29,1377.88,4.24,20145.57,29,-6.48%,20162.40,0.07
2021-07-27,Cycle_3,补仓,4751.31,0.86,4086.13,6.490000000000001,30836.02,102,-10.97%,30856.80,0.20
2021-07-29,Cycle_1,减仓,4850.27,-0.04,-194.01,2.0699999999999994,10040.07,2,2.08%,10055.60,0.01
2021-08-04,Cycle_1,减仓,4978.85,-0.05,-248.94,2.0199999999999996,10057.27,4,2.65%,10061.20,0.01
2021-08-04,Cycle_2,减仓,4978.85,-0.18,-896.19,4.0600000000000005,20214.12,6,4.79%,20233.60,0.04
2021-08-17,Cycle_1,补仓,4837.40,0.05,241.87,2.0699999999999994,10013.43,9,-2.84%,10025.20,0.01
2021-08-20,Cycle_2,补仓,4769.27,0.15,715.39,4.210000000000001,20078.62,12,-4.21%,20067.20,0.04
2021-09-07,Cycle_1,减仓,4992.83,-0.05,-249.64,2.0199999999999996,10085.52,15,3.21%,10092.00,0.01
2021-09-07,Cycle_2,减仓,4992.83,-0.15,-748.92,4.0600000000000005,20270.89,12,4.69%,20267.20,0.04
2021-09-15,Cycle_1,补仓,4867.32,0.04,194.69,2.0599999999999996,10026.68,6,-2.51%,10016.80,0.01
2021-10-25,Cycle_1,减仓,4979.52,-0.03,-149.39,2.03,10108.43,21,2.31%,10108.80,0.01
2021-10-28,Cycle_1,补仓,4864.14,0.03,145.92,2.0599999999999996,10020.12,3,-2.32%,10008.40,0.01
2021-12-08,Cycle_1,减仓,4995.93,-0.03,-149.88,2.03,10141.74,29,2.71%,10131.20,0.01
2021-12-20,Cycle_1,补仓,4880.42,0.02,97.61,2.05,10004.86,8,-2.31%,10022.40,0.00
