日期,周期ID,当前价格,持仓数量,当前市值,距上次调仓天数,相对涨跌幅,累计投入,累计净投入,最大回撤
2023-02-02,Cycle_1,4181.15,2.38,9951.14,1,-0.35%,9986.32,9986.32,0.35%
2023-02-02,Cycle_2,4181.15,4.77,19944.08,1,-0.35%,20014.60,20014.60,0.35%
2023-02-02,Cycle_3,4181.15,7.15,29895.22,1,-0.35%,30000.92,30000.92,0.35%
2023-02-02,Cycle_4,4181.15,9.53,39846.35,1,-0.35%,39987.24,39987.24,0.35%
2023-02-03,Cycle_1,4141.63,2.38,9857.08,2,-1.29%,9986.32,9986.32,1.29%
2023-02-03,Cycle_2,4141.63,4.77,19755.58,2,-1.29%,20014.60,20014.60,1.29%
2023-02-03,Cycle_3,4141.63,7.15,29612.67,2,-1.29%,30000.92,30000.92,1.29%
2023-02-03,Cycle_4,4141.63,9.53,39469.75,2,-1.29%,39987.24,39987.24,1.29%
2023-02-06,Cycle_1,4086.88,2.4499999999999997,10012.85,0,0.00%,10272.40,10272.40,1.29%
2023-02-06,Cycle_2,4086.88,4.77,19494.41,3,-2.60%,20014.60,20014.60,2.60%
2023-02-06,Cycle_3,4086.88,7.15,29221.18,3,-2.60%,30000.92,30000.92,2.60%
2023-02-06,Cycle_4,4086.88,9.53,38947.95,3,-2.60%,39987.24,39987.24,2.60%
2023-02-07,Cycle_1,4094.23,2.4499999999999997,10030.87,1,0.18%,10272.40,10272.40,1.29%
2023-02-07,Cycle_2,4094.23,4.77,19529.49,4,-2.42%,20014.60,20014.60,2.60%
2023-02-07,Cycle_3,4094.23,7.15,29273.77,4,-2.42%,30000.92,30000.92,2.60%
2023-02-07,Cycle_4,4094.23,9.53,39018.05,4,-2.42%,39987.24,39987.24,2.60%
2023-02-08,Cycle_1,4076.14,2.4499999999999997,9986.55,2,-0.26%,10272.40,10272.40,1.29%
2023-02-08,Cycle_2,4076.14,4.77,19443.19,5,-2.85%,20014.60,20014.60,2.85%
2023-02-08,Cycle_3,4076.14,7.15,29144.41,5,-2.85%,30000.92,30000.92,2.85%
2023-02-08,Cycle_4,4076.14,9.53,38845.62,5,-2.85%,39987.24,39987.24,2.85%
2023-02-09,Cycle_1,4130.86,2.4499999999999997,10120.60,3,1.08%,10272.40,10272.40,1.29%
2023-02-09,Cycle_2,4130.86,4.77,19704.19,6,-1.55%,20014.60,20014.60,2.85%
2023-02-09,Cycle_3,4130.86,7.15,29535.62,6,-1.55%,30000.92,30000.92,2.85%
2023-02-09,Cycle_4,4130.86,9.53,39367.06,6,-1.55%,39987.24,39987.24,2.85%
2023-02-10,Cycle_1,4106.31,2.4499999999999997,10060.46,4,0.48%,10272.40,10272.40,1.29%
2023-02-10,Cycle_2,4106.31,4.77,19587.10,7,-2.14%,20014.60,20014.60,2.85%
2023-02-10,Cycle_3,4106.31,7.15,29360.11,7,-2.14%,30000.92,30000.92,2.85%
2023-02-10,Cycle_4,4106.31,9.53,39133.13,7,-2.14%,39987.24,39987.24,2.85%
2023-02-13,Cycle_1,4143.57,2.4499999999999997,10151.76,5,1.39%,10272.40,10272.40,1.29%
2023-02-13,Cycle_2,4143.57,4.77,19764.85,8,-1.25%,20014.60,20014.60,2.85%
2023-02-13,Cycle_3,4143.57,7.15,29626.55,8,-1.25%,30000.92,30000.92,2.85%
2023-02-13,Cycle_4,4143.57,9.53,39488.26,8,-1.25%,39987.24,39987.24,2.85%
2023-02-14,Cycle_1,4145.29,2.4499999999999997,10155.96,6,1.43%,10272.40,10272.40,1.29%
2023-02-14,Cycle_2,4145.29,4.77,19773.03,9,-1.21%,20014.60,20014.60,2.85%
2023-02-14,Cycle_3,4145.29,7.15,29638.82,9,-1.21%,30000.92,30000.92,2.85%
2023-02-14,Cycle_4,4145.29,9.53,39504.62,9,-1.21%,39987.24,39987.24,2.85%
2023-02-15,Cycle_1,4123.69,2.4499999999999997,10103.04,7,0.90%,10272.40,10272.40,1.29%
2023-02-15,Cycle_2,4123.69,4.77,19670.00,10,-1.72%,20014.60,20014.60,2.85%
2023-02-15,Cycle_3,4123.69,7.15,29484.38,10,-1.72%,30000.92,30000.92,2.85%
2023-02-15,Cycle_4,4123.69,9.53,39298.76,10,-1.72%,39987.24,39987.24,2.85%
2023-02-16,Cycle_1,4093.49,2.4499999999999997,10029.04,8,0.16%,10272.40,10272.40,1.29%
2023-02-16,Cycle_2,4093.49,4.77,19525.94,11,-2.44%,20014.60,20014.60,2.85%
2023-02-16,Cycle_3,4093.49,7.15,29268.44,11,-2.44%,30000.92,30000.92,2.85%
2023-02-16,Cycle_4,4093.49,9.53,39010.94,11,-2.44%,39987.24,39987.24,2.85%
2023-02-17,Cycle_1,4034.51,2.4499999999999997,9884.54,9,-1.28%,10272.40,10272.40,2.67%
2023-02-17,Cycle_2,4034.51,4.77,19244.60,12,-3.85%,20014.60,20014.60,3.85%
2023-02-17,Cycle_3,4034.51,7.15,28846.73,12,-3.85%,30000.92,30000.92,3.85%
2023-02-17,Cycle_4,4034.51,9.53,38448.85,12,-3.85%,39987.24,39987.24,3.85%
2023-02-20,Cycle_1,4133.49,2.4499999999999997,10127.05,10,1.14%,10272.40,10272.40,2.67%
2023-02-20,Cycle_2,4133.49,4.77,19716.75,13,-1.49%,20014.60,20014.60,3.85%
2023-02-20,Cycle_3,4133.49,7.15,29554.45,13,-1.49%,30000.92,30000.92,3.85%
2023-02-20,Cycle_4,4133.49,9.53,39392.16,13,-1.49%,39987.24,39987.24,3.85%
2023-02-21,Cycle_1,4144.35,2.4499999999999997,10153.67,11,1.41%,10272.40,10272.40,2.67%
2023-02-21,Cycle_2,4144.35,4.77,19768.57,14,-1.23%,20014.60,20014.60,3.85%
2023-02-21,Cycle_3,4144.35,7.15,29632.13,14,-1.23%,30000.92,30000.92,3.85%
2023-02-21,Cycle_4,4144.35,9.53,39495.69,14,-1.23%,39987.24,39987.24,3.85%
2023-02-22,Cycle_1,4106.95,2.4499999999999997,10062.03,12,0.49%,10272.40,10272.40,2.67%
2023-02-22,Cycle_2,4106.95,4.77,19590.15,15,-2.12%,20014.60,20014.60,3.85%
2023-02-22,Cycle_3,4106.95,7.15,29364.70,15,-2.12%,30000.92,30000.92,3.85%
2023-02-22,Cycle_4,4106.95,9.53,39139.24,15,-2.12%,39987.24,39987.24,3.85%
2023-02-23,Cycle_1,4103.65,2.4499999999999997,10053.93,13,0.41%,10272.40,10272.40,2.67%
2023-02-23,Cycle_2,4103.65,4.77,19574.39,16,-2.20%,20014.60,20014.60,3.85%
2023-02-23,Cycle_3,4103.65,7.15,29341.07,16,-2.20%,30000.92,30000.92,3.85%
2023-02-23,Cycle_4,4103.65,9.53,39107.75,16,-2.20%,39987.24,39987.24,3.85%
2023-02-24,Cycle_1,4061.05,2.4499999999999997,9949.56,14,-0.63%,10272.40,10272.40,2.67%
2023-02-24,Cycle_2,4061.05,4.77,19371.19,17,-3.21%,20014.60,20014.60,3.85%
2023-02-24,Cycle_3,4061.05,7.15,29036.48,17,-3.21%,30000.92,30000.92,3.85%
2023-02-24,Cycle_4,4061.05,9.53,38701.77,17,-3.21%,39987.24,39987.24,3.85%
2023-02-27,Cycle_1,4043.84,2.4499999999999997,9907.42,15,-1.05%,10272.40,10272.40,2.67%
2023-02-27,Cycle_2,4043.84,4.77,19289.14,18,-3.62%,20014.60,20014.60,3.85%
2023-02-27,Cycle_3,4043.84,7.15,28913.49,18,-3.62%,30000.92,30000.92,3.85%
2023-02-27,Cycle_4,4043.84,9.53,38537.84,18,-3.62%,39987.24,39987.24,3.85%
2023-02-28,Cycle_1,4069.46,2.4499999999999997,9970.17,16,-0.43%,10272.40,10272.40,2.67%
2023-02-28,Cycle_2,4069.46,4.77,19411.32,19,-3.01%,20014.60,20014.60,3.85%
2023-02-28,Cycle_3,4069.46,7.15,29096.63,19,-3.01%,30000.92,30000.92,3.85%
