Date,Close,Zone,Yield,PositionVal(Bc),Ba,S_acc,LogicPos,Threshold,NextBuy,NextSell
2015-02-03,34.37,A,1.44%,512419.93,505138.90,0.00,-,3.50%,32.70,35.07
2015-02-04,34.02,A,0.39%,507101.56,505138.90,0.00,-,3.50%,32.70,35.07
2015-02-05,33.67,A,-0.64%,501910.64,505138.90,0.00,-,3.50%,32.70,35.07
2015-02-06,33.12,A,-2.25%,493782.45,505138.90,0.00,-,3.50%,32.70,35.07
2015-02-09,33.46,A,-1.26%,498776.44,505138.90,0.00,-,3.50%,32.70,35.07
2015-02-10,34.07,A,0.54%,507872.99,505138.90,0.00,-,3.50%,32.70,35.07
2015-02-11,34.34,A,1.34%,511924.86,505138.90,0.00,-,3.50%,32.70,35.07
2015-02-12,34.43,A,1.60%,513229.23,505138.90,0.00,-,3.50%,32.70,35.07
2015-02-13,34.70,A,2.40%,517247.26,505138.90,0.00,-,3.50%,32.70,35.07
2015-02-16,34.99,A,3.27%,521667.93,505138.90,0.00,-,3.50%,32.70,35.07
2015-02-17,35.22,A,3.95%,525072.54,505138.90,0.00,-,3.50%,32.70,35.07
2015-02-25,34.79,A,0.61%,508207.52,505138.90,10518.06,-,3.50%,34.06,36.53
2015-02-26,35.66,A,3.14%,521000.04,505138.90,10518.06,-,3.50%,34.06,36.53
2015-02-27,35.73,A,3.33%,521956.63,505138.90,10518.06,-,3.50%,34.06,36.53
2015-03-02,36.01,A,4.15%,526108.80,505138.90,10518.06,-,3.50%,34.06,36.53
2015-03-03,35.08,A,1.45%,512469.11,505138.90,10518.06,-,3.50%,34.06,36.53
2015-03-04,35.31,A,2.11%,515817.79,505138.90,10518.06,-,3.50%,34.06,36.53
2015-03-05,34.96,A,1.12%,510780.89,505138.90,10518.06,-,3.50%,34.06,36.53
2015-03-06,34.79,A,0.60%,508176.99,505138.90,10518.06,-,3.50%,34.06,36.53
2015-03-09,35.38,A,2.31%,516829.90,505138.90,10518.06,-,3.50%,34.06,36.53
2015-03-10,35.21,A,1.82%,514326.06,505138.90,10518.06,-,3.50%,34.06,36.53
2015-03-11,35.25,A,1.94%,514916.56,505138.90,10518.06,-,3.50%,34.06,36.53
2015-03-12,35.93,A,3.91%,524878.58,505138.90,10518.06,-,3.50%,34.06,36.53
2015-03-13,36.18,A,4.63%,528503.51,505138.90,10518.06,-,3.50%,34.06,36.53
2015-03-16,37.06,A,7.17%,541361.48,505138.90,10518.06,-,3.50%,34.06,36.53
2015-03-17,37.57,A,6.49%,537907.16,505138.90,21421.23,-,3.50%,36.03,38.65
2015-03-18,38.46,A,9.01%,550639.69,505138.90,21421.23,-,3.50%,36.03,38.65
2015-03-19,38.40,A,8.83%,549735.43,505138.90,21421.23,-,3.50%,36.03,38.65
2015-03-20,38.93,A,10.33%,557299.82,505138.90,21421.23,-,3.50%,36.03,38.65
2015-03-23,39.72,A,10.33%,557319.88,505138.90,32641.24,-,3.50%,37.86,40.60
2015-03-24,39.73,A,10.36%,557458.08,505138.90,32641.24,-,3.50%,37.86,40.60
2015-03-25,39.40,A,9.45%,552879.21,505138.90,32641.24,-,3.50%,37.86,40.60
2015-03-26,39.50,A,9.72%,554224.36,505138.90,32641.24,-,3.50%,37.86,40.60
2015-03-27,39.72,A,10.32%,557268.81,505138.90,32641.24,-,3.50%,37.86,40.60
2015-03-30,40.88,A,13.56%,573612.26,505138.90,32641.24,-,3.50%,37.86,40.60
2015-03-31,40.51,A,10.28%,557081.06,505138.90,44230.12,-,3.50%,39.94,42.84
2015-04-01,41.24,A,12.26%,567076.80,505138.90,44230.12,-,3.50%,39.94,42.84
2015-04-02,41.25,A,12.29%,567197.95,505138.90,44230.12,-,3.50%,39.94,42.84
2015-04-03,41.71,A,13.53%,573490.68,505138.90,44230.12,-,3.50%,39.94,42.84
2015-04-07,42.60,A,15.97%,585798.65,505138.90,44230.12,-,3.50%,39.94,42.84
2015-04-08,42.96,D,16.94%,590715.87,505138.90,44230.12,-,3.50%,41.45,44.46
2015-04-09,42.62,D,16.02%,586086.60,505138.90,44230.12,-,3.50%,41.45,44.46
2015-04-10,43.44,D,18.26%,597400.64,505138.90,44230.12,-,3.50%,41.45,44.46
2015-04-13,44.21,D,20.35%,607941.75,505138.90,44230.12,-,3.50%,41.45,44.46
2015-04-14,44.38,D,20.82%,610294.68,505138.90,44230.12,-,3.50%,41.45,44.46
2015-04-15,43.81,D,19.25%,602364.34,505138.90,44230.12,-,3.50%,41.45,44.46
2015-04-16,45.14,D,22.87%,620657.71,505138.90,44230.12,-,3.50%,41.45,44.46
2015-04-17,45.96,D,23.87%,625717.96,505138.90,50502.91,-,3.50%,44.18,47.39
2015-04-20,45.22,D,21.87%,615614.05,505138.90,50502.91,-,3.50%,44.18,47.39
2015-04-21,46.19,D,24.49%,628852.99,505138.90,50502.91,-,3.50%,44.18,47.39
2015-04-22,47.40,D,27.74%,645278.28,505138.90,50502.91,-,3.50%,44.18,47.39
2015-04-23,47.41,D,25.84%,635658.80,505138.90,60317.74,-,3.50%,45.98,49.31
2015-04-24,47.03,D,24.82%,630530.11,505138.90,60317.74,-,3.50%,45.98,49.31
2015-04-27,48.08,D,27.61%,644601.94,505138.90,60317.74,-,3.50%,45.98,49.31
2015-04-28,47.42,D,25.86%,635788.72,505138.90,60317.74,-,3.50%,45.98,49.31
2015-04-29,47.74,D,26.73%,640141.63,505138.90,60317.74,-,3.50%,45.98,49.31
2015-04-30,47.50,D,26.08%,636864.71,505138.90,60317.74,-,3.50%,45.98,49.31
2015-05-04,47.88,D,27.08%,641940.31,505138.90,60317.74,-,3.50%,45.98,49.31
2015-05-05,45.97,D,22.01%,616343.90,505138.90,60317.74,-,3.50%,45.98,49.31
2015-05-06,45.53,D,20.58%,616748.14,511476.84,60317.74,-,3.50%,44.64,47.88
2015-05-07,44.70,D,18.38%,605473.56,511476.84,60317.74,-,3.50%,44.64,47.88
2015-05-08,45.58,D,20.72%,617435.82,511476.84,60317.74,-,3.50%,44.64,47.88
2015-05-11,46.91,D,24.22%,635332.56,511476.84,60317.74,-,3.50%,44.64,47.88
2015-05-12,47.47,D,25.72%,643038.17,511476.84,60317.74,-,3.50%,44.64,47.88
2015-05-13,47.18,D,24.95%,639112.16,511476.84,60317.74,-,3.50%,44.64,47.88
2015-05-14,47.01,D,24.49%,636720.38,511476.84,60317.74,-,3.50%,44.64,47.88
2015-05-15,46.17,D,22.28%,625436.31,511476.84,60317.74,-,3.50%,44.64,47.88
2015-05-18,45.75,D,21.16%,619702.71,511476.84,60317.74,-,3.50%,44.64,47.88
2015-05-19,47.31,D,25.29%,640844.02,511476.84,60317.74,-,3.50%,44.64,47.88
2015-05-20,47.55,D,25.92%,644053.78,511476.84,60317.74,-,3.50%,44.64,47.88
2015-05-21,48.41,D,28.20%,655710.20,511476.84,60317.74,-,3.50%,44.64,47.88
2015-05-22,49.51,D,29.80%,663875.00,511476.84,67025.16,-,3.50%,47.25,50.67
2015-05-25,50.99,D,33.68%,683740.29,511476.84,67025.16,-,3.50%,47.25,50.67
2015-05-26,51.99,D,34.19%,686361.15,511476.84,77615.20,-,3.50%,49.61,53.21
2015-05-27,51.81,E,33.74%,684052.92,511476.84,77615.20,-,3.50%,50.00,53.63
2015-05-28,48.34,E,24.77%,638185.60,511476.84,77615.20,-,3.50%,50.00,53.63
2015-05-29,48.41,E,24.95%,639086.24,511476.84,77615.20,-,3.50%,50.00,53.63
2015-06-01,50.76,E,31.02%,670157.15,511476.84,77615.20,-,3.50%,50.00,53.63
2015-06-02,51.62,E,33.24%,681470.08,511476.84,77615.20,-,3.50%,50.00,53.63
2015-06-03,51.44,E,32.76%,679056.75,511476.84,77615.20,-,3.50%,50.00,53.63
2015-06-04,51.81,E,33.74%,684050.54,511476.84,77615.20,-,3.50%,50.00,53.63
2015-06-05,52.31,E,35.01%,690537.48,511476.84,77615.20,-,3.50%,50.00,53.63
2015-06-08,53.54,E,38.19%,706802.21,511476.84,77615.20,-,3.50%,50.00,53.63
2015-06-09,53.17,E,37.25%,702011.20,511476.84,77615.20,-,3.50%,50.00,53.63
2015-06-10,53.09,E,37.04%,700908.97,511476.84,77615.20,-,3.50%,50.00,53.63
2015-06-11,53.07,E,36.97%,700576.01,511476.84,77615.20,-,3.50%,50.00,53.63
2015-06-12,53.35,E,37.71%,704341.88,511476.84,77615.20,-,3.50%,50.00,53.63
2015-06-15,52.21,E,34.77%,689298.47,511476.84,77615.20,-,3.50%,50.00,53.63
2015-06-16,50.65,E,30.73%,668657.67,511476.84,77615.20,-,3.50%,50.00,53.63
2015-06-17,51.39,E,32.64%,678428.47,511476.84,77615.20,-,3.50%,50.00,53.63
2015-06-18,49.31,E,27.27%,650931.08,511476.84,77615.20,-,3.50%,50.00,53.63
2015-06-19,46.37,E,19.69%,612183.61,511476.84,77615.20,-,3.50%,50.00,53.63
2015-06-23,47.86,E,23.29%,638177.37,517603.52,77615.20,-,3.50%,44.79,48.04
2015-06-24,48.80,D,25.72%,650716.00,517603.52,77615.20,-,3.50%,47.09,50.51
2015-06-25,47.07,D,21.24%,627566.84,517603.52,77615.20,-,3.50%,47.09,50.51
2015-06-26,43.36,D,11.51%,583955.38,523686.77,77615.20,-,3.50%,44.14,47.34
2015-06-29,41.92,D,7.64%,570050.66,529601.07,77615.20,-,3.50%,42.91,46.02
2015-06-30,44.73,D,14.79%,614276.82,535135.29,77615.20,-,3.50%,40.15,43.07
2015-07-01,42.53,D,8.09%,578410.86,535135.29,83479.15,-,3.50%,42.55,45.63
2015-07-02,41.08,E,4.31%,564151.09,540837.97,83479.15,-,3.50%,39.64,42.52
2015-07-03,38.86,E,-1.33%,533652.98,540837.97,83479.15,-,3.50%,39.64,42.52
2015-07-06,39.99,E,1.53%,549119.09,540837.97,83479.15,-,3.50%,39.64,42.52
2015-07-07,39.28,E,-0.26%,539432.51,540837.97,83479.15,-,3.50%,39.64,42.52
2015-07-08,36.63,E,-6.99%,503045.01,540837.97,83479.15,-,3.50%,39.64,42.52
2015-07-09,38.98,E,-0.95%,540600.73,545799.67,83479.15,-,3.50%,34.95,37.48
2015-07-10,41.07,E,2.30%,558327.35,545799.67,94209.74,-,3.50%,37.79,40.53
2015-07-13,42.12,E,0.68%,549515.11,545799.67,116895.68,-,3.50%,39.88,42.77
2015-07-14,41.12,E,-1.70%,536512.08,545799.67,116895.68,-,3.50%,39.88,42.77
2015-07-15,39.67,E,-5.18%,517543.05,545799.67,116895.68,-,3.50%,39.88,42.77
2015-07-16,39.97,E,-4.45%,521534.91,545799.67,116895.68,-,3.50%,39.88,42.77
2015-07-17,41.51,E,-0.76%,541645.68,545799.67,116895.68,-,3.50%,39.88,42.77
2015-07-20,41.61,E,-0.54%,542835.05,545799.67,116895.68,-,3.50%,39.88,42.77
2015-07-21,41.66,E,-0.41%,543538.80,545799.67,116895.68,-,3.50%,39.88,42.77
2015-07-22,41.57,E,-0.63%,542384.67,545799.67,116895.68,-,3.50%,39.88,42.77
2015-07-23,42.51,E,1.61%,554602.53,545799.67,116895.68,-,3.50%,39.88,42.77
2015-07-24,41.76,E,-0.17%,544879.12,545799.67,116895.68,-,3.50%,39.88,42.77
2015-07-27,38.19,E,-8.72%,498229.83,545799.67,116895.68,-,3.50%,39.88,42.77
2015-07-28,38.11,E,-8.90%,497233.30,545799.67,116895.68,-,3.50%,39.88,42.77
2015-07-29,39.30,E,-6.05%,512796.55,545799.67,116895.68,-,3.50%,39.88,42.77
2015-07-30,38.15,E,-8.79%,497796.80,545799.67,116895.68,-,3.50%,39.88,42.77
2015-07-31,38.17,E,-8.76%,497964.72,545799.67,116895.68,-,3.50%,39.88,42.77
2015-08-03,38.29,E,-8.46%,499600.29,545799.67,116895.68,-,3.50%,39.88,42.77
2015-08-04,39.48,E,-5.62%,515115.91,545799.67,116895.68,-,3.50%,39.88,42.77
2015-08-05,38.67,E,-7.56%,504514.44,545799.67,116895.68,-,3.50%,39.88,42.77
2015-08-06,38.32,E,-8.40%,499941.73,545799.67,116895.68,-,3.50%,39.88,42.77
2015-08-07,39.07,E,-6.61%,509739.11,545799.67,116895.68,-,3.50%,39.88,42.77
2015-08-10,40.84,E,-2.37%,532887.10,545799.67,116895.68,-,3.50%,39.88,42.77
2015-08-11,40.67,E,-2.79%,530578.30,545799.67,116895.68,-,3.50%,39.88,42.77
2015-08-12,40.16,E,-4.00%,523983.96,545799.67,116895.68,-,3.50%,39.88,42.77
2015-08-13,40.75,E,-2.58%,531725.66,545799.67,116895.68,-,3.50%,39.88,42.77
2015-08-14,40.74,E,-2.62%,531474.76,545799.67,116895.68,-,3.50%,39.88,42.77
2015-08-17,40.78,E,-2.52%,532039.96,545799.67,116895.68,-,3.50%,39.88,42.77
2015-08-18,38.25,E,-8.56%,499101.50,545799.67,116895.68,-,3.50%,39.88,42.77
2015-08-19,38.86,E,-7.10%,507024.16,545799.67,116895.68,-,3.50%,39.88,42.77
2015-08-20,37.61,E,-10.08%,490756.90,545799.67,116895.68,-,3.50%,39.88,42.77
2015-08-21,35.90,E,-14.19%,468326.76,545799.67,116895.68,-,3.50%,39.88,42.77
2015-08-24,32.76,E,-21.56%,431846.40,550532.47,116895.68,-,3.50%,33.34,35.76
2015-08-25,30.43,E,-27.13%,401179.50,550532.47,116895.68,-,3.50%,33.34,35.76
2015-08-26,30.26,E,-27.34%,403052.43,554728.19,116895.68,-,3.50%,29.55,31.70
2015-08-27,32.06,E,-23.02%,427022.90,554728.19,116895.68,-,3.50%,29.55,31.70
2015-08-28,33.42,E,-21.39%,436068.05,554728.19,125790.37,-,3.50%,31.33,33.60
2015-08-31,33.67,E,-20.82%,439231.95,554728.19,125790.37,-,3.50%,31.33,33.60
2015-09-01,33.62,E,-24.25%,420193.13,554728.19,143888.32,-,3.50%,31.81,34.12
2015-09-02,33.66,E,-24.17%,420661.68,554728.19,143888.32,-,3.50%,31.81,34.12
2015-09-07,32.50,E,-26.77%,406245.62,554728.19,143888.32,-,3.50%,31.81,34.12
2015-09-08,33.34,E,-24.88%,416686.19,554728.19,143888.32,-,3.50%,31.81,34.12
2015-09-09,33.99,E,-23.41%,424845.14,554728.19,143888.32,-,3.50%,31.81,34.12
2015-09-10,33.58,E,-24.35%,419627.97,554728.19,143888.32,-,3.50%,31.81,34.12
2015-09-11,33.47,E,-24.59%,418331.56,554728.19,143888.32,-,3.50%,31.81,34.12
2015-09-14,32.81,E,-26.08%,410075.88,554728.19,143888.32,-,3.50%,31.81,34.12
2015-09-15,31.52,E,-28.98%,393965.96,554728.19,143888.32,-,3.50%,31.81,34.12
2015-09-16,33.09,E,-25.44%,413589.82,554728.19,143888.32,-,3.50%,31.81,34.12
2015-09-17,32.37,E,-27.07%,404560.14,554728.19,143888.32,-,3.50%,31.81,34.12
2015-09-18,32.51,E,-26.75%,406344.10,554728.19,143888.32,-,3.50%,31.81,34.12
2015-09-21,33.08,E,-25.47%,413464.71,554728.19,143888.32,-,3.50%,31.81,34.12
2015-09-22,33.39,E,-24.77%,417311.97,554728.19,143888.32,-,3.50%,31.81,34.12
2015-09-23,32.63,E,-26.48%,407813.24,554728.19,143888.32,-,3.50%,31.81,34.12
2015-09-24,32.85,E,-25.99%,410559.18,554728.19,143888.32,-,3.50%,31.81,34.12
2015-09-25,32.32,E,-27.18%,403929.24,554728.19,143888.32,-,3.50%,31.81,34.12
2015-09-28,32.43,E,-26.94%,405279.14,554728.19,143888.32,-,3.50%,31.81,34.12
2015-09-29,31.79,E,-28.38%,397293.17,554728.19,143888.32,-,3.50%,31.81,34.12
2015-09-30,32.03,E,-27.84%,400304.44,554728.19,143888.32,-,3.50%,31.81,34.12
2015-10-08,32.96,E,-25.73%,411994.32,554728.19,143888.32,-,3.50%,31.81,34.12
2015-10-09,33.40,E,-24.75%,417447.70,554728.19,143888.32,-,3.50%,31.81,34.12
