Date,Type,Price,Shares,Amount,Zone,Yield,Ba,S_acc
2015-02-03,Buy,33.89,14907,505138.90,A,1.44%,505138.90,0.00
2015-02-25,Sell,35.30,-298,10518.06,A,0.61%,505138.90,10518.06
2015-03-17,Sell,37.34,-292,10903.17,A,6.49%,505138.90,21421.23
2015-03-23,Sell,39.23,-286,11220.02,A,10.33%,505138.90,32641.24
2015-03-31,Sell,41.39,-280,11588.88,A,10.28%,505138.90,44230.12
2015-04-17,Sell,45.79,-137,6272.79,D,23.87%,505138.90,50502.91
2015-04-23,Sell,47.64,-206,9814.83,D,25.84%,505138.90,60317.74
2015-05-06,Buy,46.26,137,6337.94,D,20.58%,511476.84,60317.74
2015-05-22,Sell,48.96,-137,6707.42,D,29.80%,511476.84,67025.16
2015-05-26,Sell,51.41,-206,10590.04,D,34.19%,511476.84,77615.20
2015-06-23,Buy,46.41,132,6126.68,E,23.29%,517603.52,77615.20
2015-06-26,Buy,45.74,133,6083.25,D,11.51%,523686.77,77615.20
2015-06-29,Buy,44.47,133,5914.30,D,7.64%,529601.07,77615.20
2015-06-30,Buy,41.61,133,5534.22,D,14.79%,535135.29,77615.20
2015-07-01,Sell,44.09,-133,5863.95,D,8.09%,535135.29,83479.15
2015-07-02,Buy,42.88,133,5702.69,D,4.31%,540837.97,83479.15
2015-07-09,Buy,36.22,137,4961.70,E,-0.95%,545799.67,83479.15
2015-07-10,Sell,39.16,-274,10730.59,E,2.30%,545799.67,94209.74
2015-07-13,Sell,41.32,-549,22685.95,E,0.68%,545799.67,116895.68
2015-08-24,Buy,34.55,137,4732.80,E,-21.56%,550532.47,116895.68
2015-08-26,Buy,30.63,137,4195.72,E,-27.34%,554728.19,116895.68
2015-08-28,Sell,32.46,-274,8894.69,E,-21.39%,554728.19,125790.37
2015-09-01,Sell,32.97,-549,18097.94,E,-24.25%,554728.19,143888.32
2015-10-13,Sell,34.22,-823,28166.99,E,-27.49%,554728.19,172055.30
2015-10-21,Sell,35.81,-823,29470.30,E,-32.05%,554728.19,201525.60
2015-11-09,Sell,37.96,-823,31244.20,E,-30.57%,554728.19,232769.80
2016-01-08,Buy,33.72,137,4619.46,E,-38.90%,559347.65,232769.80
2016-01-27,Buy,29.53,137,4045.86,E,-46.41%,563393.51,232769.80
2016-02-18,Sell,30.80,-274,8437.90,E,-45.64%,563393.51,241207.70
2016-03-22,Sell,32.32,-549,17741.57,E,-45.72%,563393.51,258949.27
2016-08-16,Sell,34.03,-823,28009.85,E,-48.09%,563393.51,286959.12
2016-11-29,Sell,35.26,-823,29018.17,E,-50.44%,563393.51,315977.28
2017-06-27,Sell,36.66,-823,30167.70,E,-54.27%,563393.51,346144.98
2017-08-28,Sell,38.06,-823,31320.55,E,-57.79%,563393.51,377465.53
2017-10-19,Sell,39.41,-823,32431.00,E,-62.56%,563393.51,409896.53
2017-11-13,Sell,41.16,-823,33870.98,E,-66.72%,563393.51,443767.51
2018-01-19,Sell,42.82,-823,35240.34,E,-71.71%,563393.51,479007.85
2018-02-12,Buy,38.46,137,5269.39,E,-73.62%,568662.90,479007.85
2018-02-23,Sell,40.62,-274,11129.21,E,-74.36%,568662.90,490137.05
2018-06-20,Buy,36.03,137,4935.49,E,-76.43%,573598.39,490137.05
2018-08-20,Buy,32.38,137,4436.35,E,-78.20%,578034.75,490137.05
2018-08-28,Sell,34.08,-274,9338.33,E,-78.93%,578034.75,499475.38
2018-10-19,Buy,30.18,137,4134.31,E,-79.97%,582169.06,499475.38
2018-10-22,Sell,31.60,-274,8657.20,E,-80.65%,582169.06,508132.58
2018-10-23,Sell,32.73,-549,17969.47,E,-84.16%,582169.06,526102.05
2019-02-14,Sell,33.93,-823,27923.19,E,-87.89%,582169.06,554025.24
2019-02-25,Sell,35.76,-823,29429.26,E,-91.99%,582169.06,583454.50
2019-02-26,Sell,37.35,-823,30736.62,E,-97.30%,582169.06,614191.12
2019-03-05,Sell,37.85,-4,151.42,F,-97.23%,582169.06,614342.54
2019-03-11,Buy,36.64,4,146.56,F,-97.26%,582315.62,614342.54
2019-03-13,Sell,37.59,-4,150.35,F,-97.29%,582315.62,614492.88
2019-03-19,Sell,38.57,-4,154.26,F,-97.24%,582315.62,614647.15
2019-03-26,Buy,37.67,4,150.66,F,-97.31%,582466.28,614647.15
2019-04-01,Sell,39.01,-4,156.05,F,-97.14%,582466.28,614803.19
2019-04-04,Sell,40.40,-4,161.59,F,-97.11%,582466.28,614964.78
2019-04-22,Sell,41.26,-4,165.04,F,-97.16%,582466.28,615129.82
2019-04-23,Buy,40.22,4,160.87,F,-97.14%,582627.15,615129.82
2019-04-29,Buy,38.97,4,155.86,F,-97.20%,582783.01,615129.82
2019-05-07,Buy,37.02,4,148.09,F,-97.30%,582931.10,615129.82
2019-05-10,Buy,36.43,4,145.72,F,-97.27%,583076.82,615129.82
2019-05-13,Sell,36.76,-4,147.03,F,-97.34%,583076.82,615276.85
2019-05-24,Buy,35.85,4,143.40,F,-97.37%,583220.22,615276.85
2019-05-29,Sell,36.43,-4,145.70,F,-97.34%,583220.22,615422.56
2019-06-10,Buy,35.78,4,143.12,F,-97.36%,583363.34,615422.56
2019-06-12,Sell,37.07,-4,148.27,F,-97.32%,583363.34,615570.83
2019-06-21,Sell,38.33,-4,153.31,F,-97.25%,583363.34,615724.14
2019-07-02,Sell,39.31,-4,157.24,F,-97.20%,583363.34,615881.38
2019-07-09,Buy,37.98,4,151.92,F,-97.28%,583515.26,615881.38
2019-08-06,Buy,36.09,4,144.36,F,-97.36%,583659.63,615881.38
2019-08-13,Sell,36.76,-4,147.02,F,-97.37%,583659.63,616028.40
2019-08-20,Sell,37.86,-4,151.44,F,-97.31%,583659.63,616179.85
2019-09-05,Sell,39.09,-4,156.37,F,-97.24%,583659.63,616336.21
2019-10-08,Buy,38.19,4,152.74,F,-97.27%,583812.37,616336.21
2019-10-14,Sell,39.45,-4,157.79,F,-97.22%,583812.37,616494.01
2019-11-25,Buy,38.51,4,154.04,F,-97.24%,583966.41,616494.01
2019-12-16,Sell,39.71,-4,158.83,F,-97.19%,583966.41,616652.84
2019-12-31,Sell,40.78,-4,163.11,F,-97.14%,583966.41,616815.95
2020-01-08,Sell,41.40,-4,165.59,F,-97.16%,583966.41,616981.53
2020-02-03,Buy,36.40,4,145.60,F,-97.43%,584112.01,616981.53
2020-02-05,Sell,38.01,-4,152.04,F,-97.36%,584112.01,617133.58
2020-02-07,Sell,38.80,-4,155.18,F,-97.34%,584112.01,617288.76
2020-02-13,Sell,39.86,-3,119.58,F,-97.32%,584112.01,617408.33
2020-02-18,Sell,40.70,-3,122.09,F,-97.27%,584112.01,617530.43
2020-03-02,Buy,39.69,3,119.07,F,-97.24%,584231.07,617530.43
2020-03-03,Sell,41.25,-3,123.75,F,-97.25%,584231.07,617654.18
2020-03-10,Buy,39.75,3,119.26,F,-97.23%,584350.33,617654.18
2020-03-11,Sell,40.91,-3,122.73,F,-97.29%,584350.33,617776.91
2020-03-13,Buy,37.71,3,113.13,F,-97.36%,584463.46,617776.91
2020-03-16,Sell,39.00,-3,117.00,F,-97.49%,584463.46,617893.91
2020-03-17,Buy,37.40,3,112.19,F,-97.49%,584575.65,617893.91
2020-03-19,Buy,36.24,3,108.71,F,-97.55%,584684.37,617893.91
2020-03-24,Buy,35.99,3,107.96,F,-97.51%,584792.33,617893.91
2020-03-26,Sell,36.93,-4,147.70,F,-97.48%,584792.33,618041.61
2020-04-08,Sell,37.76,-3,113.29,F,-97.45%,584792.33,618154.90
2020-04-21,Sell,38.38,-3,115.15,F,-97.45%,584792.33,618270.05
2020-05-07,Sell,39.38,-3,118.13,F,-97.39%,584792.33,618388.18
2020-05-25,Buy,38.28,3,114.85,F,-97.43%,584907.18,618388.18
2020-06-02,Sell,39.70,-3,119.10,F,-97.35%,584907.18,618507.28
2020-06-22,Sell,40.98,-3,122.93,F,-97.29%,584907.18,618630.20
2020-07-02,Sell,42.39,-3,127.18,F,-97.16%,584907.18,618757.38
2020-07-03,Sell,43.53,-3,130.60,F,-97.13%,584907.18,618887.98
2020-07-07,Sell,47.40,-3,142.19,F,-96.97%,584907.18,619030.17
2020-07-10,Sell,47.96,-3,143.88,F,-96.96%,584907.18,619174.05
2020-07-17,Buy,45.25,3,135.74,F,-97.07%,585042.92,619174.05
2020-07-21,Sell,46.98,-3,140.93,F,-97.00%,585042.92,619314.98
2020-07-27,Buy,45.35,3,136.05,F,-97.08%,585178.97,619314.98
2020-07-30,Sell,46.90,-3,140.69,F,-97.02%,585178.97,619455.67
2020-08-18,Sell,48.17,-3,144.50,F,-96.95%,585178.97,619600.17
2020-08-21,Buy,47.18,3,141.53,F,-96.98%,585320.50,619600.17
2020-08-31,Sell,48.71,-3,146.13,F,-96.95%,585320.50,619746.29
2020-09-07,Buy,47.60,3,142.79,F,-97.02%,585463.29,619746.29
2020-09-10,Buy,46.32,3,138.96,F,-97.05%,585602.25,619746.29
2020-09-21,Sell,47.51,-3,142.52,F,-97.00%,585602.25,619888.82
2020-09-23,Buy,46.40,3,139.19,F,-97.01%,585741.44,619888.82
2020-10-13,Sell,48.13,-3,144.39,F,-96.91%,585741.44,620033.20
2020-10-27,Buy,46.80,3,140.40,F,-96.98%,585881.85,620033.20
2020-11-04,Sell,47.81,-3,143.44,F,-96.93%,585881.85,620176.65
2020-11-06,Sell,48.98,-3,146.93,F,-96.91%,585881.85,620323.58
2020-11-24,Sell,49.97,-3,149.91,F,-96.88%,585881.85,620473.49
2020-12-14,Buy,49.04,3,147.11,F,-96.88%,586028.95,620473.49
2020-12-18,Sell,50.14,-3,150.43,F,-96.86%,586028.95,620623.92
2021-01-04,Sell,52.13,-3,156.39,F,-96.72%,586028.95,620780.30
2021-01-06,Sell,53.87,-3,161.60,F,-96.65%,586028.95,620941.90
2021-01-08,Sell,55.26,-3,165.79,F,-96.63%,586028.95,621107.69
2021-01-29,Buy,54.14,3,162.42,F,-96.69%,586191.37,621107.69
2021-02-09,Sell,55.84,-3,167.52,F,-96.52%,586191.37,621275.21
2021-02-18,Sell,59.22,-3,177.66,F,-96.50%,586191.37,621452.88
2021-02-19,Buy,57.34,3,172.02,F,-96.46%,586363.39,621452.88
2021-02-23,Buy,55.43,3,166.28,F,-96.56%,586529.67,621452.88
2021-03-01,Buy,53.89,3,161.68,F,-96.63%,586691.35,621452.88
2021-03-05,Buy,51.92,3,155.76,F,-96.70%,586847.11,621452.88
2021-03-09,Buy,50.66,3,151.98,F,-96.86%,586999.10,621452.88
2021-03-25,Buy,49.04,3,147.12,F,-96.86%,587146.22,621452.88
2021-03-29,Sell,50.52,-3,151.57,F,-96.81%,587146.22,621604.44
2021-04-06,Sell,51.79,-3,155.36,F,-96.78%,587146.22,621759.80
2021-04-12,Buy,50.27,3,150.81,F,-96.87%,587297.03,621759.80
2021-04-26,Sell,51.57,-3,154.70,F,-96.82%,587297.03,621914.50
2021-05-10,Buy,50.01,3,150.04,F,-96.85%,587447.07,621914.50
2021-05-17,Sell,51.15,-3,153.46,F,-96.75%,587447.07,622067.96
2021-05-26,Sell,53.26,-3,159.78,F,-96.69%,587447.07,622227.74
2021-06-16,Buy,51.63,3,154.90,F,-96.82%,587601.97,622227.74
2021-07-27,Buy,49.24,3,147.73,F,-97.00%,587749.70,622227.74
2021-07-28,Buy,47.14,3,141.43,F,-96.97%,587891.13,622227.74
2021-07-30,Sell,48.26,-3,144.77,F,-96.96%,587891.13,622372.51
2021-08-03,Sell,49.09,-3,147.28,F,-96.91%,587891.13,622519.79
2021-08-11,Sell,50.37,-3,151.11,F,-96.89%,587891.13,622670.90
2021-08-18,Buy,48.38,3,145.15,F,-96.94%,588036.28,622670.90
2021-09-08,Sell,49.87,-3,149.60,F,-96.91%,588036.28,622820.51
2021-09-16,Buy,48.67,3,146.00,F,-96.99%,588182.28,622820.51
2021-10-26,Sell,49.83,-3,149.50,F,-96.92%,588182.28,622970.01
2021-10-29,Buy,48.61,3,145.84,F,-96.93%,588328.12,622970.01
2021-12-09,Sell,50.01,-3,150.02,F,-96.85%,588328.12,623120.03
2021-12-21,Buy,48.77,3,146.30,F,-96.93%,588474.42,623120.03
2022-01-14,Buy,47.44,3,142.32,F,-97.02%,588616.73,623120.03
2022-01-28,Buy,46.42,3,139.25,F,-97.10%,588755.99,623120.03
2022-02-25,Buy,45.65,3,136.94,F,-97.07%,588892.93,623120.03
2022-03-08,Buy,43.62,3,130.85,F,-97.25%,589023.78,623120.03
2022-03-09,Buy,42.81,3,128.43,F,-97.25%,589152.21,623120.03
2022-03-15,Buy,41.25,3,123.76,F,-97.39%,589275.97,623120.03
2022-03-16,Buy,40.53,3,121.59,F,-97.26%,589397.56,623120.03
2022-03-17,Sell,42.38,-3,127.13,F,-97.22%,589397.56,623247.16
2022-03-29,Buy,41.55,3,124.66,F,-97.27%,589522.23,623247.16
2022-03-31,Sell,42.35,-3,127.04,F,-97.24%,589522.23,623374.20
2022-04-12,Buy,41.03,3,123.09,F,-97.24%,589645.32,623374.20
2022-04-15,Sell,41.62,-3,124.87,F,-97.26%,589645.32,623499.07
