日期,操作类型,成交价格,数量,金额,当前估值,估值分位点,目标仓位,手续费
2015-08-26,买入,11.24,8893,99990.76,1.34,5.96%,1.00,5.00
2015-08-27,买入,11.43,4561,52152.58,1.43,3.02%,1.00,2.61
2015-08-28,买入,11.71,4078,47749.60,1.47,13.20%,1.00,2.39
2015-09-01,买入,11.14,4357,48523.77,1.41,8.74%,1.00,2.43
2015-09-02,买入,11.15,4450,49627.40,1.38,10.74%,1.00,2.48
2015-09-07,买入,11.33,4579,51869.40,1.37,7.08%,1.00,2.59
2015-09-08,买入,11.14,4447,49526.09,1.42,6.36%,1.00,2.48
2015-09-09,买入,11.70,4347,50866.18,1.46,11.57%,1.00,2.54
2015-09-11,买入,11.57,4298,49735.45,1.40,10.34%,1.00,2.49
2015-09-14,买入,11.50,4358,50130.57,1.29,8.41%,1.00,2.51
2015-09-15,买入,10.49,4693,49222.92,1.26,1.64%,1.00,2.46
2015-09-16,买入,10.19,4903,49966.91,1.34,0.21%,1.00,2.50
2015-09-17,买入,10.69,4597,49127.73,1.29,3.63%,1.00,2.46
2015-09-18,买入,10.60,4879,51732.05,1.28,1.49%,1.00,2.59
2015-09-21,买入,10.30,4732,48729.57,1.30,1.07%,1.00,2.44
2015-09-22,买入,10.59,4797,50789.42,1.32,1.99%,1.00,2.54
2015-09-23,买入,10.63,4629,49222.54,1.27,2.77%,1.00,2.46
2015-09-24,买入,10.47,4900,51281.92,1.28,0.50%,1.00,2.56
2015-09-25,买入,10.45,4732,49451.49,1.24,1.06%,1.00,2.47
2015-09-28,买入,10.12,4953,50136.42,1.25,0.00%,1.00,2.51
2018-01-25,卖出,18.04,-26945,294103.37,1.84,71.64%,0.70,24.30
2018-06-20,买入,13.71,38768,531428.15,1.36,9.15%,1.00,26.57
2019-02-26,卖出,20.89,-30515,363661.40,1.94,77.70%,0.70,31.87
2019-03-07,卖出,21.68,-44781,533675.93,2.12,83.82%,0.30,48.54
2020-07-09,卖出,27.12,-5053,60218.94,2.41,88.78%,0.30,6.85
2022-03-16,买入,18.14,10763,195293.18,1.60,29.79%,0.30,9.76
2022-04-27,买入,16.55,98751,1633854.25,1.41,9.69%,1.00,81.69
2024-11-08,卖出,35.89,-95389,1501198.37,1.98,80.94%,0.30,171.16
2025-04-08,买入,23.90,14770,353008.01,1.38,20.86%,0.30,17.65
