日期,操作类型,成交价格,数量,金额,当前估值,估值分位点,目标仓位,手续费
2015-01-09,买入,10.21,2936,29978.68,1.31,19.99%,0.30,0.00
2015-08-25,买入,9.88,4,39.51,1.12,12.90%,0.30,0.00
2016-01-27,买入,10.18,2975,30293.81,1.08,9.68%,0.60,0.00
2018-01-24,卖出,25.08,-2161,54205.08,1.95,50.05%,0.50,0.00
2020-01-06,卖出,30.43,-342,10408.42,1.76,53.24%,0.50,0.00
2020-07-08,卖出,31.76,-70,2223.33,1.68,51.16%,0.50,0.00
2021-01-13,卖出,39.48,-332,13107.36,2.01,59.68%,0.50,0.00
2022-08-02,买入,29.30,1223,35833.18,1.12,8.95%,0.60,0.00
2022-10-13,买入,26.10,2421,63197.52,0.99,4.82%,0.90,0.00
2022-11-02,买入,24.12,853,20578.54,0.90,0.67%,1.00,0.00
