日期,收盘价,估值指标,估值分位点,持仓市值,现金,总资产,仓位比例,信号
2015-01-05,26.45,3.10,0.4953,0.00,100000.00,100000.00,0.0000,持有
2015-01-06,25.60,3.00,0.4804,0.00,100000.00,100000.00,0.0000,持有
2015-01-07,25.49,2.99,0.4786,0.00,100000.00,100000.00,0.0000,持有
2015-01-08,24.68,2.89,0.4673,0.00,100000.00,100000.00,0.0000,持有
2015-01-09,25.29,3.04,0.4864,0.00,100000.00,100000.00,0.0000,持有
2015-01-12,26.10,3.14,0.5008,0.00,100000.00,100000.00,0.0000,持有
2015-01-13,26.09,3.14,0.5005,0.00,100000.00,100000.00,0.0000,持有
2015-01-14,25.65,3.09,0.4945,0.00,100000.00,100000.00,0.0000,持有
2015-01-15,27.39,3.30,0.5282,0.00,100000.00,100000.00,0.0000,持有
2015-01-16,27.19,3.27,0.5253,0.00,100000.00,100000.00,0.0000,持有
2015-01-19,24.47,2.95,0.4714,0.00,100000.00,100000.00,0.0000,持有
2015-01-20,24.52,2.95,0.4716,0.00,100000.00,100000.00,0.0000,持有
2015-01-21,26.86,3.23,0.5203,0.00,100000.00,100000.00,0.0000,持有
2015-01-22,26.21,3.15,0.5029,0.00,100000.00,100000.00,0.0000,持有
2015-01-23,26.67,3.21,0.5146,0.00,100000.00,100000.00,0.0000,持有
2015-01-26,26.26,3.16,0.5044,0.00,100000.00,100000.00,0.0000,持有
2015-01-27,25.68,3.09,0.4943,0.00,100000.00,100000.00,0.0000,持有
2015-01-28,25.10,3.02,0.4811,0.00,100000.00,100000.00,0.0000,持有
2015-01-29,24.50,2.95,0.4699,0.00,100000.00,100000.00,0.0000,持有
2015-01-30,24.06,2.90,0.4640,0.00,100000.00,100000.00,0.0000,持有
2015-02-02,23.00,2.77,0.4534,0.00,100000.00,100000.00,0.0000,持有
2015-02-03,23.99,2.89,0.4635,0.00,100000.00,100000.00,0.0000,持有
2015-02-04,23.44,2.82,0.4581,0.00,100000.00,100000.00,0.0000,持有
2015-02-05,22.90,2.76,0.4521,0.00,100000.00,100000.00,0.0000,持有
2015-02-06,23.03,2.77,0.4535,0.00,100000.00,100000.00,0.0000,持有
2015-02-09,23.61,2.84,0.4620,0.00,100000.00,100000.00,0.0000,持有
2015-02-10,23.78,2.86,0.4628,0.00,100000.00,100000.00,0.0000,持有
2015-02-11,24.36,2.93,0.4688,0.00,100000.00,100000.00,0.0000,持有
2015-02-12,24.27,2.92,0.4680,0.00,100000.00,100000.00,0.0000,持有
2015-02-13,24.28,2.92,0.4683,0.00,100000.00,100000.00,0.0000,持有
2015-02-16,24.42,2.94,0.4722,0.00,100000.00,100000.00,0.0000,持有
2015-02-17,24.51,2.95,0.4735,0.00,100000.00,100000.00,0.0000,持有
2015-02-25,23.67,2.85,0.4609,0.00,100000.00,100000.00,0.0000,持有
2015-02-26,24.26,2.92,0.4673,0.00,100000.00,100000.00,0.0000,持有
2015-02-27,24.41,2.94,0.4717,0.00,100000.00,100000.00,0.0000,持有
2015-03-02,24.27,2.92,0.4674,0.00,100000.00,100000.00,0.0000,持有
2015-03-03,23.31,2.81,0.4548,0.00,100000.00,100000.00,0.0000,持有
2015-03-04,23.25,2.80,0.4545,0.00,100000.00,100000.00,0.0000,持有
2015-03-05,22.63,2.72,0.4440,0.00,100000.00,100000.00,0.0000,持有
2015-03-06,22.57,2.72,0.4428,0.00,100000.00,100000.00,0.0000,持有
2015-03-09,23.03,2.77,0.4513,0.00,100000.00,100000.00,0.0000,持有
2015-03-10,22.82,2.75,0.4480,0.00,100000.00,100000.00,0.0000,持有
2015-03-11,23.00,2.77,0.4503,0.00,100000.00,100000.00,0.0000,持有
2015-03-12,23.89,2.88,0.4634,0.00,100000.00,100000.00,0.0000,持有
2015-03-13,23.94,2.88,0.4642,0.00,100000.00,100000.00,0.0000,持有
2015-03-16,25.51,3.07,0.4967,0.00,100000.00,100000.00,0.0000,持有
2015-03-17,25.94,3.12,0.5051,0.00,100000.00,100000.00,0.0000,持有
2015-03-18,26.89,3.24,0.5299,0.00,100000.00,100000.00,0.0000,持有
2015-03-19,26.30,3.17,0.5138,0.00,100000.00,100000.00,0.0000,持有
2015-03-20,27.23,2.48,0.3629,0.00,100000.00,100000.00,0.0000,持有
