日期,当前价格,持仓数量,当前市值,累计投入,净投入,最大回撤
2023-02-02,4181.15,11.92,49839.30,50015.52,50015.52,0.35%
2023-02-03,4141.63,11.92,49368.25,50015.52,50015.52,1.29%
2023-02-06,4086.88,11.92,48715.58,50015.52,50015.52,2.60%
2023-02-07,4094.23,11.92,48803.26,50015.52,50015.52,2.60%
2023-02-08,4076.14,11.92,48587.60,50015.52,50015.52,2.85%
2023-02-09,4130.86,11.92,49239.81,50015.52,50015.52,2.85%
2023-02-10,4106.31,11.92,48947.21,50015.52,50015.52,2.85%
2023-02-13,4143.57,11.92,49391.40,50015.52,50015.52,2.85%
2023-02-14,4145.29,11.92,49411.86,50015.52,50015.52,2.85%
2023-02-15,4123.69,11.92,49154.38,50015.52,50015.52,2.85%
2023-02-16,4093.49,11.92,48794.37,50015.52,50015.52,2.85%
2023-02-17,4034.51,11.92,48091.32,50015.52,50015.52,3.85%
2023-02-20,4133.49,11.92,49271.20,50015.52,50015.52,3.85%
2023-02-21,4144.35,11.92,49400.69,50015.52,50015.52,3.85%
2023-02-22,4106.95,11.92,48954.85,50015.52,50015.52,3.85%
2023-02-23,4103.65,11.92,48915.46,50015.52,50015.52,3.85%
2023-02-24,4061.05,11.92,48407.66,50015.52,50015.52,3.85%
2023-02-27,4043.84,11.92,48202.63,50015.52,50015.52,3.85%
2023-02-28,4069.46,11.92,48507.95,50015.52,50015.52,3.85%
2023-03-01,4126.94,11.92,49193.14,50015.52,50015.52,3.85%
2023-03-02,4117.74,11.92,49083.43,50015.52,50015.52,3.85%
2023-03-03,4130.55,11.92,49236.17,50015.52,50015.52,3.85%
2023-03-06,4109.01,11.92,48979.40,50015.52,50015.52,3.85%
2023-03-07,4048.85,11.92,48262.31,50015.52,50015.52,3.85%
2023-03-08,4034.11,11.92,48086.56,50015.52,50015.52,3.86%
2023-03-09,4019.85,11.92,47916.62,50015.52,50015.52,4.20%
2023-03-10,3967.14,14.44,57285.43,60012.70,60012.70,4.20%
2023-03-13,4008.69,14.44,57885.43,60012.70,60012.70,4.20%
2023-03-14,3984.70,14.44,57539.00,60012.70,60012.70,4.20%
2023-03-15,3986.90,14.44,57570.86,60012.70,60012.70,4.20%
2023-03-16,3939.15,14.44,56881.33,60012.70,60012.70,4.20%
2023-03-17,3958.82,14.44,57165.35,60012.70,60012.70,4.20%
2023-03-20,3939.08,14.44,56880.27,60012.70,60012.70,4.20%
2023-03-21,3982.38,14.44,57505.54,60012.70,60012.70,4.20%
2023-03-22,3999.44,14.44,57751.95,60012.70,60012.70,4.20%
2023-03-23,4039.09,14.44,58324.45,60012.70,60012.70,4.20%
2023-03-24,4027.05,14.44,58150.54,60012.70,60012.70,4.20%
2023-03-27,4012.48,14.44,57940.17,60012.70,60012.70,4.20%
2023-03-28,3999.51,14.44,57752.99,60012.70,60012.70,4.20%
2023-03-29,4006.14,14.44,57848.72,60012.70,60012.70,4.20%
2023-03-30,4038.53,14.44,58316.31,60012.70,60012.70,4.20%
2023-03-31,4050.93,14.44,58495.37,60012.70,60012.70,4.20%
2023-04-03,4090.57,14.44,59067.80,60012.70,60012.70,4.20%
2023-04-04,4103.11,14.44,59248.84,60012.70,60012.70,4.20%
2023-04-06,4096.64,14.44,59155.48,60012.70,60012.70,4.20%
2023-04-07,4123.28,14.44,59540.16,60012.70,60012.70,4.20%
2023-04-10,4104.81,14.44,59273.48,60012.70,60012.70,4.20%
2023-04-11,4100.15,14.44,59206.14,60012.70,60012.70,4.20%
