fund_id,fund_nm,qtype,issuer_nm,urls,asset_ratio,lof_type,t0,eval_show,price,pre_close,price_dt,increase_rt,volume,stock_volume,last_time,amount,amount_incr,amount_increase_rt,fund_nav,nav_dt,estimate_value,discount_rt,last_est_dt,last_est_time,ref_increase_rt,est_val_dt,est_val_increase_rt,index_id,index_nm,apply_fee,apply_status,apply_fee_tips,redeem_fee,redeem_status,redeem_fee_tips,m_fee,t_fee,min_amt,money_cd,notes,estimate_value2,discount_rt2,est_val_dt2,est_val_increase_rt2,ref_price,ref_increase_rt2,cal_tips,owned,holded,mt_fee,mt_fee_tips,cal_index_id,est_val_tm2,ref_price2,apply_redeem_status,amount_incr_tips,turnover_rt,last_est_datetime,fund_nm_color,est_val_dt_s,nav_dt_s
159509,纳指科技ETF,E,景顺长城,http://www.igwfmc.com/main/jjcp/product/159509/detail.html,100.000,QDII,Y,Y,2.310,2.2910,2025-12-30,0.83%,70205.45,30731.0556,15:13:54,652856,100,0.02,1.9180,2025-12-26,1.9084,,2025-12-30,15:13:54,-0.46%,2025-12-29,-0.50%,Y,纳斯达克科技市值加权,-,开放申购,-,-,开放赎回,-,0.80,0.20,,USD,,-,-,-,-,2373.37,-,指数从 2025-12-26 2384.43  到 2025-12-29 2373.37；汇率美元对人民币中间价从 2025-12-26 7.03580  到 2025-12-29 7.03310,0,0,1.00,"管理费：0.80%
托管费：0.20%",NDXTMC.GI,-,-,-,最新份额：652856万份；增长：0.02%,4.71%,2025-12-30 15:13:54,纳指科技ETF,25-12-29,25-12-26
159660,纳指100ETF,E,汇添富,https://www.99fund.com/main/products/pofund/159660/fundgk.shtml,100.000,QDII,Y,Y,2.102,2.1030,2025-12-30,-0.05%,7542.58,3619.0000,15:14:09,194815,0,0.00,1.9682,2025-12-26,1.9584,,2025-12-30,15:14:09,-0.46%,2025-12-29,-0.50%,Y,纳斯达克100,-,开放申购,-,-,开放赎回,-,0.50,0.15,,USD,,buy,buy,buy,buy,25525.56,buy,指数从 2025-12-26 25644.39  到 2025-12-29 25525.56；汇率美元对人民币中间价从 2025-12-26 7.03580  到 2025-12-29 7.03310,0,0,0.65,"管理费：0.50%
托管费：0.15%",NDX.GI,buy,buy,-,最新份额：194815万份；增长：0.00%,1.86%,2025-12-30 15:14:09,纳指100ETF,25-12-29,25-12-26
513100,纳指ETF,E,国泰基金,https://e.gtfund.com/Etrade/Jijin/view/id/513100,100.000,QDII,Y,Y,1.914,1.9160,2025-12-30,-0.10%,40098.57,21059.4493,15:00:00,946611,0,0.00,1.8030,2025-12-26,1.7940,,2025-12-30,15:00:00,-0.46%,2025-12-29,-0.50%,Y,纳斯达克100,0.50%,暂停申购,代理券商可按照不超过0.5%标准收取佣金,0.50%,开放赎回,代理券商可按照不超过0.5%标准收取佣金,0.60,0.20,,USD,,buy,buy,buy,buy,25525.56,buy,指数从 2025-12-26 25644.39  到 2025-12-29 25525.56；汇率美元对人民币中间价从 2025-12-26 7.03580  到 2025-12-29 7.03310,0,0,0.80,"管理费：0.60%
托管费：0.20%",NDX.GI,buy,buy,-,最新份额：946611万份；增长：0.00%,2.22%,2025-12-30 15:00:00,纳指ETF,25-12-29,25-12-26
159501,纳斯达克指数ETF,E,嘉实基金,https://www.jsfund.cn/main/fund/159501/fundRecord.shtml,100.000,QDII,Y,Y,1.792,1.7940,2025-12-30,-0.11%,9633.38,5415.1193,15:13:54,604399,500,0.08,1.6913,2025-12-26,1.6828,,2025-12-30,15:13:54,-0.46%,2025-12-29,-0.50%,Y,纳斯达克100,0.50%,开放申购,最高不超过0.5%,0.50%,开放赎回,最高不超过0.5%,0.50,0.10,,USD,,buy,buy,buy,buy,25525.56,buy,指数从 2025-12-26 25644.39  到 2025-12-29 25525.56；汇率美元对人民币中间价从 2025-12-26 7.03580  到 2025-12-29 7.03310,0,0,0.60,"管理费：0.50%
托管费：0.10%",NDX.GI,buy,buy,-,最新份额：604399万份；增长：0.08%,0.90%,2025-12-30 15:13:54,纳斯达克指数ETF,25-12-29,25-12-26
513500,标普500ETF,E,博时基金,https://www.bosera.com/fund/513500.html,100.000,QDII,Y,Y,2.439,2.4470,2025-12-30,-0.33%,25966.03,10649.6600,15:00:00,981064,0,0.00,2.3055,2025-12-26,2.2965,,2025-12-30,15:00:00,-0.35%,2025-12-29,-0.39%,Y,标普500,0.50%,暂停申购,最高不超过0.5%,0.50%,开放赎回,最高不超过0.5%,0.60,0.20,,USD,,buy,buy,buy,buy,6905.74,buy,指数从 2025-12-26 6929.94  到 2025-12-29 6905.74；汇率美元对人民币中间价从 2025-12-26 7.03580  到 2025-12-29 7.03310,0,0,0.80,"管理费：0.60%
托管费：0.20%",SPX.GI,buy,buy,-,最新份额：981064万份；增长：0.00%,1.09%,2025-12-30 15:00:00,标普500ETF,25-12-29,25-12-26
159941,纳指ETF,E,广发基金,http://www.gffunds.com.cn/funds/?fundcode=159941,100.000,QDII,Y,Y,1.420,1.4160,2025-12-30,0.28%,64520.03,45778.9400,15:14:06,2233561,130,0.01,1.3551,2025-12-26,1.3483,,2025-12-30,15:14:06,-0.46%,2025-12-29,-0.50%,Y,纳斯达克100,-,开放申购,-,-,开放赎回,-,0.80,0.20,,USD,,buy,buy,buy,buy,25525.56,buy,指数从 2025-12-26 25644.39  到 2025-12-29 25525.56；汇率美元对人民币中间价从 2025-12-26 7.03580  到 2025-12-29 7.03310,0,0,1.00,"管理费：0.80%
托管费：0.20%",NDX.GI,buy,buy,-,最新份额：2233561万份；增长：0.01%,2.05%,2025-12-30 15:14:06,纳指ETF,25-12-29,25-12-26
159529,标普消费ETF,E,景顺长城,https://www.igwfmc.com/main/jjcp/product/159529/detail.html,100.000,QDII,Y,Y,1.378,1.3900,2025-12-30,-0.86%,13586.19,9837.9292,15:14:00,68854,0,0.00,1.3179,2025-12-26,1.3096,,2025-12-30,15:14:00,-0.59%,2025-12-29,-0.63%,Y,标普500消费精选指数,-,开放申购,-,-,开放赎回,-,0.50,0.20,,USD,,-,-,-,-,4461.55,-,指数从 2025-12-26 4488.06  到 2025-12-29 4461.55；汇率美元对人民币中间价从 2025-12-26 7.03580  到 2025-12-29 7.03310,0,0,0.70,"管理费：0.50%
托管费：0.20%",SP5CSSUP.SPI,-,-,-,最新份额：68854万份；增长：0.00%,14.29%,2025-12-30 15:14:00,标普消费ETF,25-12-29,25-12-26
513390,纳指100ETF,E,博时基金,https://www.bosera.com/fund/513390.html,100.000,QDII,Y,Y,2.116,2.1090,2025-12-30,0.33%,3197.82,1522.2400,14:59:53,179038,0,0.00,2.0219,2025-12-26,2.0118,,2025-12-30,14:59:53,-0.46%,2025-12-29,-0.50%,Y,纳斯达克100,-,暂停申购,-,-,开放赎回,-,0.50,0.15,,USD,,buy,buy,buy,buy,25525.56,buy,指数从 2025-12-26 25644.39  到 2025-12-29 25525.56；汇率美元对人民币中间价从 2025-12-26 7.03580  到 2025-12-29 7.03310,0,0,0.65,"管理费：0.50%
托管费：0.15%",NDX.GI,buy,buy,-,最新份额：179038万份；增长：0.00%,0.85%,2025-12-30 14:59:53,纳指100ETF,25-12-29,25-12-26
513290,纳指生物科技ETF,E,汇添富,https://www.99fund.com/main/products/pofund/513290/fundgk.shtml,100.000,QDII,Y,Y,1.548,1.5390,2025-12-30,0.58%,12084.88,7915.3822,15:00:00,103507,0,0.00,1.4873,2025-12-26,1.4757,,2025-12-30,15:00:00,-0.74%,2025-12-29,-0.78%,Y,纳斯达克生物科技,-,暂停申购,-,-,开放赎回,-,0.50,0.15,,USD,,-,-,-,-,5766.40,-,指数从 2025-12-26 5809.30  到 2025-12-29 5766.40；汇率美元对人民币中间价从 2025-12-26 7.03580  到 2025-12-29 7.03310,0,0,0.65,"管理费：0.50%
托管费：0.15%",NBI.GI,-,-,-,最新份额：103507万份；增长：0.00%,7.65%,2025-12-30 15:00:00,纳指生物科技ETF,25-12-29,25-12-26
159696,纳指ETF易方达,E,易方达,https://www.efunds.com.cn/fund/159696.shtml,100.000,QDII,Y,Y,1.744,1.7450,2025-12-30,-0.06%,4200.65,2417.6072,15:14:39,240682,100,0.04,1.6753,2025-12-26,1.6669,,2025-12-30,15:14:39,-0.46%,2025-12-29,-0.50%,Y,纳斯达克100,-,开放申购,-,-,开放赎回,-,0.50,0.10,,USD,,buy,buy,buy,buy,25525.56,buy,指数从 2025-12-26 25644.39  到 2025-12-29 25525.56；汇率美元对人民币中间价从 2025-12-26 7.03580  到 2025-12-29 7.03310,0,0,0.60,"管理费：0.50%
托管费：0.10%",NDX.GI,buy,buy,-,最新份额：240682万份；增长：0.04%,1.00%,2025-12-30 15:14:39,纳指ETF易方达,25-12-29,25-12-26
