日期,周期ID,当前价格,持仓数量,当前市值,距上次调仓天数,相对涨跌幅,累计投入,累计净投入,最大回撤
2021-01-05,Cycle_1,5368.50,1.9,10200.16,1,1.91%,10008.66,10008.66,0.00%
2021-01-05,Cycle_2,5368.50,3.8,20400.32,1,1.91%,20017.33,20017.33,0.00%
2021-01-05,Cycle_3,5368.50,5.7,30600.48,1,1.91%,30025.99,30025.99,0.00%
2021-01-05,Cycle_4,5368.50,7.59,40746.95,1,1.91%,39981.98,39981.98,0.00%
2021-01-06,Cycle_1,5417.67,1.8599999999999999,10076.86,0,0.00%,10008.66,9791.96,1.21%
2021-01-06,Cycle_2,5417.67,3.8,20587.14,2,2.85%,20017.33,20017.33,0.00%
2021-01-06,Cycle_3,5417.67,5.7,30880.71,2,2.85%,30025.99,30025.99,0.00%
2021-01-06,Cycle_4,5417.67,7.59,41120.10,2,2.85%,39981.98,39981.98,0.00%
2021-01-07,Cycle_1,5513.66,1.8599999999999999,10255.40,1,1.77%,10008.66,9791.96,1.21%
2021-01-07,Cycle_2,5513.66,3.67,20235.12,0,0.00%,20017.33,19300.55,1.71%
2021-01-07,Cycle_3,5513.66,5.7,31427.84,3,4.67%,30025.99,30025.99,0.00%
2021-01-07,Cycle_4,5513.66,7.59,41848.66,3,4.67%,39981.98,39981.98,0.00%
2021-01-08,Cycle_1,5495.43,1.8599999999999999,10221.50,2,1.44%,10008.66,9791.96,1.21%
2021-01-08,Cycle_2,5495.43,3.67,20168.23,1,-0.33%,20017.33,19300.55,2.03%
2021-01-08,Cycle_3,5495.43,5.7,31323.95,4,4.32%,30025.99,30025.99,0.33%
2021-01-08,Cycle_4,5495.43,7.59,41710.32,4,4.32%,39981.98,39981.98,0.33%
2021-01-11,Cycle_1,5441.16,1.8599999999999999,10120.55,3,0.43%,10008.66,9791.96,1.31%
2021-01-11,Cycle_2,5441.16,3.67,19969.05,2,-1.31%,20017.33,19300.55,3.00%
2021-01-11,Cycle_3,5441.16,5.7,31014.60,5,3.29%,30025.99,30025.99,1.31%
2021-01-11,Cycle_4,5441.16,7.59,41298.39,5,3.29%,39981.98,39981.98,1.31%
2021-01-12,Cycle_1,5596.35,1.7999999999999998,10073.43,0,0.00%,10008.66,9456.18,1.77%
2021-01-12,Cycle_2,5596.35,3.67,20538.61,3,1.50%,20017.33,19300.55,3.00%
2021-01-12,Cycle_3,5596.35,5.7,31899.21,6,6.24%,30025.99,30025.99,1.31%
2021-01-12,Cycle_4,5596.35,7.59,42476.32,6,6.24%,39981.98,39981.98,1.31%
2021-01-13,Cycle_1,5577.97,1.7999999999999998,10040.35,1,-0.33%,10008.66,9456.18,2.10%
2021-01-13,Cycle_2,5577.97,3.67,20471.15,4,1.17%,20017.33,19300.55,3.00%
2021-01-13,Cycle_3,5577.97,5.7,31794.44,7,5.89%,30025.99,30025.99,1.31%
2021-01-13,Cycle_4,5577.97,7.59,42336.80,7,5.89%,39981.98,39981.98,1.31%
2021-01-14,Cycle_1,5470.46,1.8299999999999998,10010.94,0,0.00%,10172.78,9620.29,2.38%
2021-01-14,Cycle_2,5470.46,3.67,20076.57,5,-0.78%,20017.33,19300.55,3.00%
2021-01-14,Cycle_3,5470.46,5.7,31181.60,8,3.85%,30025.99,30025.99,2.25%
2021-01-14,Cycle_4,5470.46,7.59,41520.76,8,3.85%,39981.98,39981.98,2.25%
2021-01-15,Cycle_1,5458.08,1.8299999999999998,9988.29,1,-0.23%,10172.78,9620.29,2.60%
2021-01-15,Cycle_2,5458.08,3.67,20031.16,6,-1.01%,20017.33,19300.55,3.00%
2021-01-15,Cycle_3,5458.08,5.7,31111.06,9,3.61%,30025.99,30025.99,2.47%
2021-01-15,Cycle_4,5458.08,7.59,41426.84,9,3.61%,39981.98,39981.98,2.47%
2021-01-18,Cycle_1,5518.52,1.8299999999999998,10098.89,2,0.88%,10172.78,9620.29,2.60%
2021-01-18,Cycle_2,5518.52,3.67,20252.97,7,0.09%,20017.33,19300.55,3.00%
2021-01-18,Cycle_3,5518.52,5.7,31455.57,10,4.76%,30025.99,30025.99,2.47%
2021-01-18,Cycle_4,5518.52,7.59,41885.57,10,4.76%,39981.98,39981.98,2.47%
2021-01-19,Cycle_1,5437.52,1.8299999999999998,9950.67,3,-0.60%,10172.78,9620.29,2.97%
2021-01-19,Cycle_2,5437.52,3.67,19955.71,8,-1.38%,20017.33,19300.55,3.07%
2021-01-19,Cycle_3,5437.52,5.7,30993.88,11,3.22%,30025.99,30025.99,2.84%
2021-01-19,Cycle_4,5437.52,7.59,41270.80,11,3.22%,39981.98,39981.98,2.84%
