日期,周期ID,操作类型,成交价格,操作数量,操作金额,操作后持仓,操作后市值,距上次调仓天数,触发涨跌幅,目标金额,手续费
2024-11-01,Cycle_1,初始建仓,3890.02,2.57,9997.35,2.57,9997.35,0,0.00%,10000.00,0.50
2024-11-01,Cycle_2,初始建仓,3890.02,5.14,19994.70,5.14,19994.70,0,0.00%,20000.00,1.00
2024-11-01,Cycle_3,初始建仓,3890.02,7.71,29992.06,7.71,29992.06,0,0.00%,30000.00,1.50
2024-11-01,Cycle_4,初始建仓,3890.02,10.28,39989.41,10.28,39989.41,0,0.00%,40000.00,2.00
2024-11-05,Cycle_1,减仓,4044.57,-0.08,-323.57,2.4899999999999998,10070.99,2,3.97%,10055.60,0.02
2024-11-07,Cycle_1,减仓,4145.70,-0.06,-248.74,2.4299999999999997,10074.04,2,2.50%,10055.60,0.01
2024-11-07,Cycle_2,减仓,4145.70,-0.26,-1077.88,4.88,20230.99,4,6.57%,20222.40,0.05
2024-11-14,Cycle_1,补仓,4039.62,0.05,201.98,2.4799999999999995,10018.26,5,-2.56%,10014.00,0.01
2024-11-15,Cycle_2,补仓,3968.83,0.17,674.70,5.05,20042.60,6,-4.27%,20033.60,0.03
2024-11-18,Cycle_1,补仓,3950.38,0.05,197.52,2.5299999999999994,9994.46,2,-2.21%,10005.60,0.01
2024-11-22,Cycle_1,补仓,3865.70,0.06,231.94,2.5899999999999994,10012.16,4,-2.14%,10011.20,0.01
2024-12-02,Cycle_1,减仓,3947.63,-0.04,-157.91,2.5499999999999994,10066.46,6,2.12%,10066.80,0.01
2024-12-12,Cycle_1,减仓,4028.50,-0.05,-201.43,2.4999999999999996,10071.26,8,2.05%,10072.40,0.01
2024-12-13,Cycle_1,补仓,3933.18,0.04,157.33,2.5399999999999996,9990.28,1,-2.37%,10002.80,0.01
2025-01-02,Cycle_1,补仓,3820.40,0.09,343.84,2.6299999999999994,10047.64,13,-2.87%,10036.40,0.02
2025-01-03,Cycle_2,补仓,3775.16,0.3,1132.55,5.35,20197.13,34,-4.88%,20190.40,0.06
2025-01-10,Cycle_1,补仓,3732.48,0.05,186.62,2.6799999999999993,10003.05,6,-2.30%,10016.80,0.01
2025-01-14,Cycle_1,减仓,3820.54,-0.05,-191.03,2.6299999999999994,10048.02,2,2.36%,10055.60,0.01
2025-02-10,Cycle_1,减仓,3901.06,-0.04,-156.04,2.5899999999999994,10103.75,13,2.11%,10086.40,0.01
2025-02-14,Cycle_2,减仓,3939.01,-0.19,-748.41,5.159999999999999,20325.28,24,4.34%,20334.40,0.04
