日期,操作类型,成交价格,数量,金额,当前估值,估值分位点,目标仓位,手续费
2020-01-03,买入,4161.22,12,49934.64,12.44,54.23%,0.50,2.50
2020-02-03,买入,3639.91,5,18199.55,11.04,36.15%,0.70,0.91
2020-02-04,买入,3652.00,8,29216.00,11.29,11.06%,1.00,1.46
2020-02-07,卖出,3879.55,-7,27258.05,11.57,24.76%,0.70,1.36
2020-02-21,卖出,4134.87,-5,19470.04,12.24,44.29%,0.50,1.03
2020-02-26,买入,4070.10,4,16280.40,11.98,39.68%,0.70,0.81
2020-03-06,卖出,4158.20,-4,15741.76,12.07,46.59%,0.50,0.83
2020-03-09,买入,4063.08,4,16252.32,11.70,39.60%,0.70,0.81
2020-03-13,买入,3771.01,1,3771.01,11.44,24.68%,0.70,0.19
2020-03-16,买入,3899.86,7,27299.02,11.07,19.29%,1.00,1.36
2020-04-30,卖出,3880.41,-6,23635.94,11.77,20.56%,0.70,1.16
2020-06-08,卖出,4023.61,-6,23635.94,12.00,40.24%,0.50,1.21
2020-06-12,买入,3931.62,5,19658.10,11.93,39.21%,0.70,0.98
2020-06-17,卖出,4018.61,-5,19685.92,12.07,44.68%,0.50,1.00
2020-07-02,卖出,4239.41,-7,27560.28,12.90,63.89%,0.20,1.48
2020-07-03,卖出,4353.19,-1,3937.18,13.19,69.52%,0.20,0.22
2020-07-07,卖出,4739.61,-5,19685.92,14.05,88.25%,0.00,1.18
2020-07-17,买入,4524.77,4,18099.08,13.39,78.65%,0.20,0.90
2020-07-21,卖出,4697.50,-4,18099.08,13.78,82.70%,0.00,0.94
2020-07-27,买入,4535.01,4,18140.04,13.29,77.78%,0.20,0.91
2020-07-30,卖出,4689.76,-4,18140.04,13.58,81.43%,0.00,0.94
2021-05-06,买入,5098.80,4,20395.20,13.41,70.87%,0.20,1.02
2021-05-26,卖出,5326.12,-4,20395.20,14.09,82.78%,0.00,1.07
2021-06-04,买入,5228.28,4,20913.12,13.99,78.57%,0.20,1.05
2021-06-07,卖出,5284.89,-4,20913.12,13.99,80.16%,0.00,1.06
2021-06-09,买入,5224.95,4,20899.80,13.92,77.54%,0.20,1.04
2021-06-16,卖出,5163.25,-4,20899.80,14.04,86.03%,0.00,1.03
2021-07-05,买入,5073.78,4,20295.12,14.01,78.73%,0.20,1.01
2021-07-08,卖出,5149.31,-4,20295.12,13.95,82.78%,0.00,1.03
2021-07-09,买入,5063.15,4,20252.60,13.89,77.78%,0.20,1.01
2021-08-23,买入,4777.73,7,33444.11,13.14,58.97%,0.50,1.67
2021-08-24,卖出,4844.59,-6,29289.11,13.25,61.51%,0.20,1.45
2021-08-27,买入,4794.97,6,28769.82,12.96,59.13%,0.50,1.44
2021-11-03,买入,4835.81,5,24179.05,12.24,38.25%,0.70,1.21
2021-11-12,卖出,4902.93,-4,19339.12,12.35,41.19%,0.50,0.98
2021-11-15,买入,4894.41,4,19577.64,12.33,39.84%,0.70,0.98
2021-11-22,卖出,4895.39,-4,19398.75,12.43,40.87%,0.50,0.98
2021-11-29,买入,4820.01,4,19280.04,12.28,38.25%,0.70,0.96
2021-12-06,卖出,4909.43,-4,19369.07,12.43,43.02%,0.50,0.98
2021-12-14,卖出,5066.35,-7,33895.87,13.62,68.73%,0.20,1.77
2022-01-07,买入,4824.32,6,28945.92,13.16,59.44%,0.50,1.45
2022-01-10,卖出,4812.23,-6,28994.87,13.21,60.32%,0.20,1.44
