日期,收盘价,估值指标,估值分位点,持仓市值,现金,总资产,仓位比例,目标仓位
2020-01-02,4152.24,12.45,0.5423,0.00,100000.00,100000.00,0.0000,0.60
2020-01-03,4144.96,12.44,0.5362,58029.44,41740.01,99769.45,0.5816,0.60
2020-01-06,4129.30,12.40,0.5197,57810.20,41740.01,99550.21,0.5807,0.60
2020-01-07,4160.23,12.47,0.5466,58243.22,41740.01,99983.23,0.5825,0.60
2020-01-08,4112.32,12.32,0.4908,57572.48,41740.01,99312.49,0.5797,0.60
2020-01-09,4164.37,12.42,0.5257,58301.18,41740.01,100041.19,0.5828,0.60
2020-01-10,4163.18,12.43,0.5309,58284.52,41740.01,100024.53,0.5827,0.60
2020-01-13,4203.99,12.53,0.5625,58855.86,41740.01,100595.87,0.5851,0.60
2020-01-14,4189.89,12.49,0.5532,58658.46,41740.01,100398.47,0.5843,0.60
2020-01-15,4166.73,12.42,0.5240,58334.22,41740.01,100074.23,0.5829,0.60
2020-01-16,4149.04,12.34,0.4972,58086.56,41740.01,99826.57,0.5819,0.60
2020-01-17,4154.85,12.35,0.5000,58167.90,41740.01,99907.91,0.5822,0.60
2020-01-20,4185.83,12.42,0.5243,58601.62,41740.01,100341.63,0.5840,0.60
2020-01-21,4114.31,12.23,0.4537,57600.34,41740.01,99340.35,0.5798,0.60
2020-01-22,4131.93,12.28,0.4733,57847.02,41740.01,99587.03,0.5809,0.60
2020-01-23,4003.90,11.96,0.3615,56054.60,41740.01,97794.61,0.5732,0.80
2020-02-03,3688.36,11.04,0.1106,70078.84,23539.55,93618.39,0.7486,0.90
2020-02-04,3785.64,11.29,0.1534,83284.08,12583.00,95867.08,0.8687,0.90
2020-02-05,3828.53,11.40,0.1875,84227.66,12583.00,96810.66,0.8700,0.90
2020-02-06,3899.78,11.58,0.2476,85795.16,12583.00,98378.16,0.8721,0.80
2020-02-07,3899.87,11.57,0.2460,81897.27,16462.36,98359.63,0.8326,0.80
2020-02-10,3916.01,11.61,0.2627,82236.21,16462.36,98698.57,0.8332,0.80
2020-02-11,3952.46,11.71,0.2968,83001.66,16462.36,99464.02,0.8345,0.80
2020-02-12,3984.43,11.78,0.3135,83673.03,16462.36,100135.39,0.8356,0.80
2020-02-13,3959.92,11.71,0.2952,83158.32,16462.36,99620.68,0.8347,0.80
2020-02-14,3987.73,11.78,0.3127,83742.33,16462.36,100204.69,0.8357,0.80
2020-02-17,4077.42,12.03,0.3849,85625.82,16462.36,102088.18,0.8387,0.80
2020-02-18,4057.51,11.96,0.3619,85207.71,16462.36,101670.07,0.8381,0.80
2020-02-19,4051.31,11.96,0.3611,85077.51,16462.36,101539.87,0.8379,0.80
2020-02-20,4144.66,12.19,0.4429,87037.86,16462.36,103500.22,0.8409,0.60
2020-02-21,4149.49,12.24,0.4611,62242.35,41270.33,103512.68,0.6013,0.60
2020-02-24,4132.84,12.17,0.4373,61992.60,41270.33,103262.93,0.6003,0.60
2020-02-25,4123.85,12.08,0.3968,61857.75,41270.33,103128.08,0.5998,0.80
2020-02-26,4073.02,11.98,0.3675,81460.40,20918.82,102379.22,0.7957,0.80
2020-02-27,4084.88,11.98,0.3667,81697.60,20918.82,102616.42,0.7961,0.80
2020-02-28,3940.05,11.57,0.2381,78801.00,20918.82,99719.82,0.7902,0.80
2020-03-02,4069.67,11.88,0.3381,81393.40,20918.82,102312.22,0.7955,0.80
2020-03-03,4091.36,11.94,0.3532,81827.20,20918.82,102746.02,0.7964,0.80
2020-03-04,4115.05,12.00,0.3730,82301.00,20918.82,103219.82,0.7973,0.80
2020-03-05,4206.73,12.25,0.4659,84134.60,20918.82,105053.42,0.8009,0.60
2020-03-06,4138.51,12.07,0.3960,62077.65,41708.78,103786.43,0.5981,0.80
2020-03-09,3997.13,11.70,0.2849,79942.60,21392.36,101334.96,0.7889,0.80
2020-03-10,4082.73,11.91,0.3452,81654.60,21392.36,103046.96,0.7924,0.80
2020-03-11,4028.43,11.78,0.3095,80568.60,21392.36,101960.96,0.7902,0.80
2020-03-12,3950.91,11.59,0.2468,79018.20,21392.36,100410.56,0.7870,0.80
2020-03-13,3895.31,11.44,0.1929,77906.20,21392.36,99298.56,0.7846,0.90
2020-03-16,3727.84,11.07,0.1167,82012.48,13592.25,95604.73,0.8578,0.90
2020-03-17,3709.68,11.02,0.1024,85322.64,9852.29,95174.93,0.8965,0.90
2020-03-18,3636.26,10.82,0.0778,83633.98,9852.29,93486.27,0.8946,1.00
2020-03-19,3589.09,10.66,0.0563,89727.25,2604.34,92331.59,0.9718,1.00
2020-03-20,3653.22,10.84,0.0841,91330.50,2604.34,93934.84,0.9723,1.00
2020-03-23,3530.31,10.50,0.0373,88257.75,2604.34,90862.09,0.9713,1.00
2020-03-24,3625.11,10.78,0.0722,90627.75,2604.34,93232.09,0.9721,1.00
2020-03-25,3722.52,11.04,0.1111,93063.00,2604.34,95667.34,0.9728,0.90
2020-03-26,3698.05,10.94,0.0937,88753.20,6296.77,95049.97,0.9338,1.00
2020-03-27,3710.06,10.96,0.0952,92751.50,2550.19,95301.69,0.9732,1.00
2020-03-30,3674.11,10.88,0.0889,91852.75,2550.19,94402.94,0.9730,1.00
2020-03-31,3686.16,10.85,0.0865,92154.00,2550.19,94704.19,0.9731,1.00
2020-04-01,3675.08,10.81,0.0778,91877.00,2550.19,94427.19,0.9730,1.00
2020-04-02,3734.53,10.98,0.1016,93363.25,2550.19,95913.44,0.9734,0.90
2020-04-03,3713.22,10.92,0.0937,89117.28,6271.48,95388.76,0.9343,1.00
2020-04-07,3798.02,11.13,0.1365,94950.50,2491.39,97441.89,0.9744,0.90
2020-04-08,3780.34,11.07,0.1278,90728.16,6267.62,96995.78,0.9354,0.90
2020-04-09,3792.81,11.10,0.1333,91027.44,6267.62,97295.06,0.9356,0.90
2020-04-10,3769.18,11.03,0.1135,90460.32,6267.62,96727.94,0.9352,0.90
2020-04-13,3753.26,10.99,0.1071,90078.24,6267.62,96345.86,0.9349,0.90
2020-04-14,3825.70,11.17,0.1437,91816.80,6267.62,98084.42,0.9361,0.90
2020-04-15,3797.36,11.10,0.1349,91136.64,6267.62,97404.26,0.9357,0.90
2020-04-16,3802.38,11.11,0.1373,91257.12,6267.62,97524.74,0.9357,0.90
2020-04-17,3839.49,11.20,0.1508,92147.76,6267.62,98415.38,0.9363,0.90
2020-04-20,3853.46,11.25,0.1579,92483.04,6267.62,98750.66,0.9365,0.90
2020-04-21,3808.05,11.13,0.1413,91393.20,6267.62,97660.82,0.9358,0.90
2020-04-22,3839.38,11.20,0.1516,92145.12,6267.62,98412.74,0.9363,0.90
