日期,收盘价,估值指标,估值分位点,持仓市值,现金,总资产,仓位比例,信号
2021-01-04,5267.72,15.79,0.9992,0.00,100000.00,100000.00,0.0000,-
2021-01-05,5368.50,16.03,0.9992,0.00,100000.00,100000.00,0.0000,-
2021-01-06,5417.67,16.19,0.9992,0.00,100000.00,100000.00,0.0000,-
2021-01-07,5513.66,16.45,0.9992,0.00,100000.00,100000.00,0.0000,-
2021-01-08,5495.43,16.42,0.9984,0.00,100000.00,100000.00,0.0000,-
2021-01-11,5441.16,16.26,0.9976,0.00,100000.00,100000.00,0.0000,-
2021-01-12,5596.35,16.68,0.9992,0.00,100000.00,100000.00,0.0000,-
2021-01-13,5577.97,16.66,0.9984,0.00,100000.00,100000.00,0.0000,-
2021-01-14,5470.46,16.41,0.9960,0.00,100000.00,100000.00,0.0000,-
2021-01-15,5458.08,16.34,0.9952,0.00,100000.00,100000.00,0.0000,-
2021-01-18,5518.52,16.46,0.9976,0.00,100000.00,100000.00,0.0000,-
2021-01-19,5437.52,16.28,0.9936,0.00,100000.00,100000.00,0.0000,-
2021-01-20,5476.43,16.35,0.9944,0.00,100000.00,100000.00,0.0000,-
2021-01-21,5564.97,16.58,0.9976,0.00,100000.00,100000.00,0.0000,-
2021-01-22,5569.78,16.52,0.9968,0.00,100000.00,100000.00,0.0000,-
2021-01-25,5625.92,16.65,0.9976,0.00,100000.00,100000.00,0.0000,-
2021-01-26,5512.97,16.37,0.9920,0.00,100000.00,100000.00,0.0000,-
2021-01-27,5528.00,16.41,0.9920,0.00,100000.00,100000.00,0.0000,-
2021-01-28,5377.14,16.00,0.9857,0.00,100000.00,100000.00,0.0000,-
2021-01-29,5351.96,15.95,0.9849,0.00,100000.00,100000.00,0.0000,-
2021-02-01,5417.65,16.10,0.9865,0.00,100000.00,100000.00,0.0000,-
2021-02-02,5501.09,16.29,0.9889,0.00,100000.00,100000.00,0.0000,-
2021-02-03,5485.20,16.22,0.9865,0.00,100000.00,100000.00,0.0000,-
2021-02-04,5473.95,16.09,0.9842,0.00,100000.00,100000.00,0.0000,-
2021-02-05,5483.41,16.15,0.9850,0.00,100000.00,100000.00,0.0000,-
2021-02-08,5564.56,16.33,0.9889,0.00,100000.00,100000.00,0.0000,-
2021-02-09,5686.25,16.64,0.9968,0.00,100000.00,100000.00,0.0000,-
2021-02-10,5807.72,16.99,0.9992,0.00,100000.00,100000.00,0.0000,-
2021-02-18,5768.38,16.92,0.9984,0.00,100000.00,100000.00,0.0000,-
2021-02-19,5778.84,16.95,0.9984,0.00,100000.00,100000.00,0.0000,-
2021-02-22,5597.33,16.59,0.9937,0.00,100000.00,100000.00,0.0000,-
2021-02-23,5579.67,16.54,0.9921,0.00,100000.00,100000.00,0.0000,-
2021-02-24,5437.57,16.13,0.9788,0.00,100000.00,100000.00,0.0000,-
2021-02-25,5469.56,16.26,0.9811,0.00,100000.00,100000.00,0.0000,-
2021-02-26,5336.76,15.87,0.9733,0.00,100000.00,100000.00,0.0000,-
2021-03-01,5418.78,16.00,0.9741,0.00,100000.00,100000.00,0.0000,-
2021-03-02,5349.63,15.78,0.9710,0.00,100000.00,100000.00,0.0000,-
2021-03-03,5452.21,16.12,0.9773,0.00,100000.00,100000.00,0.0000,-
2021-03-04,5280.71,15.69,0.9695,0.00,100000.00,100000.00,0.0000,-
2021-03-05,5262.80,15.69,0.9687,0.00,100000.00,100000.00,0.0000,-
2021-03-08,5080.02,15.22,0.9578,0.00,100000.00,100000.00,0.0000,-
2021-03-09,4971.00,14.93,0.9422,0.00,100000.00,100000.00,0.0000,-
2021-03-10,5003.61,14.97,0.9438,0.00,100000.00,100000.00,0.0000,-
2021-03-11,5128.22,15.31,0.9618,0.00,100000.00,100000.00,0.0000,-
2021-03-12,5146.38,15.35,0.9626,0.00,100000.00,100000.00,0.0000,-
2021-03-15,5035.54,15.11,0.9494,0.00,100000.00,100000.00,0.0000,-
2021-03-16,5079.36,15.23,0.9572,0.00,100000.00,100000.00,0.0000,-
2021-03-17,5100.86,15.25,0.9580,0.00,100000.00,100000.00,0.0000,-
2021-03-18,5141.77,15.34,0.9619,0.00,100000.00,100000.00,0.0000,-
2021-03-19,5007.09,14.95,0.9371,0.00,100000.00,100000.00,0.0000,-
2021-03-22,5057.15,15.09,0.9457,0.00,100000.00,100000.00,0.0000,-
2021-03-23,5009.25,14.96,0.9380,0.00,100000.00,100000.00,0.0000,-
2021-03-24,4928.69,14.76,0.9311,0.00,100000.00,100000.00,0.0000,-
2021-03-25,4926.35,14.71,0.9272,0.00,100000.00,100000.00,0.0000,-
2021-03-26,5037.99,14.98,0.9389,0.00,100000.00,100000.00,0.0000,-
2021-03-29,5046.88,14.78,0.9304,0.00,100000.00,100000.00,0.0000,-
2021-03-30,5094.73,14.87,0.9336,0.00,100000.00,100000.00,0.0000,-
2021-03-31,5048.36,14.61,0.9205,0.00,100000.00,100000.00,0.0000,-
2021-04-01,5110.78,14.74,0.9268,0.00,100000.00,100000.00,0.0000,-
2021-04-02,5161.56,14.85,0.9330,0.00,100000.00,100000.00,0.0000,-
2021-04-06,5140.34,14.81,0.9315,0.00,100000.00,100000.00,0.0000,-
2021-04-07,5103.74,14.73,0.9246,0.00,100000.00,100000.00,0.0000,-
2021-04-08,5112.21,14.75,0.9262,0.00,100000.00,100000.00,0.0000,-
2021-04-09,5035.34,14.56,0.9124,0.00,100000.00,100000.00,0.0000,-
2021-04-12,4947.75,14.35,0.8872,0.00,100000.00,100000.00,0.0000,-
2021-04-13,4939.64,14.32,0.8834,0.00,100000.00,100000.00,0.0000,-
2021-04-14,4980.63,14.42,0.8943,0.00,100000.00,100000.00,0.0000,-
2021-04-15,4948.97,14.29,0.8783,0.00,100000.00,100000.00,0.0000,-
2021-04-16,4966.18,14.34,0.8852,0.00,100000.00,100000.00,0.0000,-
2021-04-19,5087.02,14.60,0.9167,0.00,100000.00,100000.00,0.0000,-
2021-04-20,5083.37,14.57,0.9144,0.00,100000.00,100000.00,0.0000,-
2021-04-21,5098.74,14.58,0.9145,0.00,100000.00,100000.00,0.0000,-
2021-04-22,5089.24,14.50,0.9031,0.00,100000.00,100000.00,0.0000,-
2021-04-23,5135.45,14.56,0.9101,0.00,100000.00,100000.00,0.0000,-
2021-04-26,5077.24,14.36,0.8835,0.00,100000.00,100000.00,0.0000,-
2021-04-27,5090.52,14.31,0.8775,0.00,100000.00,100000.00,0.0000,-
2021-04-28,5119.24,14.35,0.8821,0.00,100000.00,100000.00,0.0000,-
2021-04-29,5164.17,14.14,0.8488,0.00,100000.00,100000.00,0.0000,-
2021-04-30,5123.49,13.52,0.7213,0.00,100000.00,100000.00,0.0000,-
2021-05-06,5061.12,13.41,0.7140,0.00,100000.00,100000.00,0.0000,-
2021-05-07,4996.05,13.29,0.6975,0.00,100000.00,100000.00,0.0000,-
2021-05-10,4992.42,13.31,0.6992,0.00,100000.00,100000.00,0.0000,-
2021-05-11,5023.06,13.38,0.7048,0.00,100000.00,100000.00,0.0000,-
2021-05-12,5044.55,13.45,0.7194,0.00,100000.00,100000.00,0.0000,-
2021-05-13,4992.97,13.32,0.6992,0.00,100000.00,100000.00,0.0000,-
2021-05-14,5110.59,13.60,0.7281,0.00,100000.00,100000.00,0.0000,-
2021-05-17,5184.99,13.77,0.7517,0.00,100000.00,100000.00,0.0000,-
2021-05-18,5187.60,13.78,0.7541,0.00,100000.00,100000.00,0.0000,-
2021-05-19,5172.27,13.73,0.7393,0.00,100000.00,100000.00,0.0000,-
2021-05-20,5186.41,13.76,0.7455,0.00,100000.00,100000.00,0.0000,-
2021-05-21,5134.15,13.63,0.7269,0.00,100000.00,100000.00,0.0000,-
2021-05-24,5155.59,13.68,0.7308,0.00,100000.00,100000.00,0.0000,-
2021-05-25,5318.48,14.07,0.8370,0.00,100000.00,100000.00,0.0000,-
2021-05-26,5320.59,14.09,0.8393,0.00,100000.00,100000.00,0.0000,-
2021-05-27,5338.23,14.12,0.8455,0.00,100000.00,100000.00,0.0000,-
2021-05-28,5321.09,14.10,0.8411,0.00,100000.00,100000.00,0.0000,-
2021-05-31,5331.57,14.09,0.8375,0.00,100000.00,100000.00,0.0000,-
2021-06-01,5341.68,14.12,0.8451,0.00,100000.00,100000.00,0.0000,-
2021-06-02,5289.97,14.01,0.8190,0.00,100000.00,100000.00,0.0000,-
2021-06-03,5255.29,13.93,0.7982,0.00,100000.00,100000.00,0.0000,-
2021-06-04,5282.28,13.99,0.8133,0.00,100000.00,100000.00,0.0000,-
2021-06-07,5277.63,13.99,0.8127,0.00,100000.00,100000.00,0.0000,-
2021-06-08,5232.12,13.90,0.7890,0.00,100000.00,100000.00,0.0000,-
2021-06-09,5236.45,13.92,0.7914,0.00,100000.00,100000.00,0.0000,-
2021-06-10,5271.47,13.99,0.8124,0.00,100000.00,100000.00,0.0000,-
2021-06-11,5224.70,13.89,0.7850,0.00,100000.00,100000.00,0.0000,-
2021-06-15,5166.56,14.23,0.8691,0.00,100000.00,100000.00,0.0000,-
2021-06-16,5080.49,14.04,0.8254,0.00,100000.00,100000.00,0.0000,-
2021-06-17,5101.89,14.05,0.8285,0.00,100000.00,100000.00,0.0000,-
2021-06-18,5102.47,14.04,0.8242,0.00,100000.00,100000.00,0.0000,-
2021-06-21,5090.39,14.01,0.8169,0.00,100000.00,100000.00,0.0000,-
2021-06-22,5122.16,14.10,0.8407,0.00,100000.00,100000.00,0.0000,-
2021-06-23,5147.39,14.15,0.8534,0.00,100000.00,100000.00,0.0000,-
2021-06-24,5155.97,14.18,0.8624,0.00,100000.00,100000.00,0.0000,-
2021-06-25,5239.97,14.39,0.8891,0.00,100000.00,100000.00,0.0000,-
2021-06-28,5251.76,14.40,0.8892,0.00,100000.00,100000.00,0.0000,-
2021-06-29,5190.54,14.24,0.8708,0.00,100000.00,100000.00,0.0000,-
2021-06-30,5224.04,14.32,0.8791,0.00,100000.00,100000.00,0.0000,-
2021-07-01,5229.66,14.33,0.8806,0.00,100000.00,100000.00,0.0000,-
2021-07-02,5081.12,13.98,0.8027,0.00,100000.00,100000.00,0.0000,-
2021-07-05,5085.79,14.01,0.8116,0.00,100000.00,100000.00,0.0000,-
2021-07-06,5083.10,14.00,0.8074,0.00,100000.00,100000.00,0.0000,-
2021-07-07,5140.49,14.11,0.8406,0.00,100000.00,100000.00,0.0000,-
2021-07-08,5088.26,13.95,0.7944,0.00,100000.00,100000.00,0.0000,-
2021-07-09,5069.44,13.89,0.7740,0.00,100000.00,100000.00,0.0000,-
2021-07-12,5132.71,14.01,0.8109,0.00,100000.00,100000.00,0.0000,-
2021-07-13,5142.10,14.03,0.8154,0.00,100000.00,100000.00,0.0000,-
