日期,操作类型,成交价格,数量,金额,当前估值,估值分位点,目标仓位,手续费
2015-08-25,买入,3070.01,9,27630.09,10.76,29.15%,0.30,1.38
2015-08-26,买入,3062.57,23,70439.11,10.77,7.14%,1.00,3.52
2015-11-09,卖出,3796.38,-9,27581.96,13.33,72.00%,0.70,1.71
2016-01-22,买入,3114.90,11,34263.90,11.03,9.52%,1.00,1.71
2017-02-21,卖出,3475.06,-9,27728.24,13.08,70.94%,0.70,1.56
2017-08-02,卖出,3768.19,-14,43132.82,13.89,84.07%,0.30,2.64
2017-08-29,卖出,3839.18,-11,33890.07,14.15,91.22%,0.00,2.11
2018-06-29,买入,3431.96,11,37751.56,11.81,26.19%,0.30,1.89
2018-07-06,买入,3347.06,15,50205.90,11.43,19.95%,0.70,2.51
2018-09-07,买入,3273.89,12,39286.68,10.93,9.36%,1.00,1.96
2019-04-08,卖出,4097.10,-11,36833.83,13.12,72.50%,0.70,2.25
2020-03-19,买入,3623.79,12,43485.48,10.66,8.21%,1.00,2.17
2020-07-06,卖出,4465.81,-11,37765.48,14.00,73.23%,0.70,2.46
2020-07-07,卖出,4739.61,-16,54931.61,14.05,86.70%,0.30,3.79
2020-07-09,卖出,4770.08,-12,41198.70,14.41,92.20%,0.00,2.86
2022-03-15,买入,4125.49,13,53631.37,10.98,24.30%,0.30,2.68
2022-03-16,买入,4053.10,19,77008.90,11.38,10.43%,0.70,3.85
2022-04-26,买入,3822.49,14,53514.86,10.67,7.14%,1.00,2.68
2024-10-09,卖出,4168.84,-13,52043.84,12.38,73.89%,0.70,2.71
