日期,收盘价,估值指标,估值分位点,持仓市值,现金,总资产,仓位比例,信号
2015-01-05,2.23,5.70,0.2851,0.00,100000.00,100000.00,0.0000,买入(补至20%)
2015-01-06,2.41,6.16,0.3624,21604.98,80141.02,101745.99,0.2123,持有
2015-01-07,2.53,6.47,0.4435,22684.32,80141.02,102825.34,0.2206,持有
2015-01-08,2.63,6.73,0.6190,23582.26,80141.02,103723.28,0.2274,持有
2015-01-09,2.68,6.86,0.7414,24040.30,80141.02,104181.32,0.2308,持有
2015-01-12,2.59,6.62,0.5322,23219.45,80141.02,103360.47,0.2246,持有
2015-01-13,2.61,6.66,0.5641,23360.04,80141.02,103501.06,0.2257,持有
2015-01-14,2.81,7.17,0.9064,25146.85,80141.02,105287.87,0.2388,卖出(降至0%)
2015-01-15,2.74,6.99,0.8136,0.00,105251.59,105251.59,0.0000,持有
2015-01-16,2.82,7.20,0.9114,0.00,105251.59,105251.59,0.0000,持有
2015-01-19,2.82,7.21,0.9118,0.00,105251.59,105251.59,0.0000,持有
2015-01-20,2.77,7.08,0.8494,0.00,105251.59,105251.59,0.0000,持有
2015-01-21,2.79,7.12,0.8750,0.00,105251.59,105251.59,0.0000,持有
2015-01-22,2.73,6.98,0.7967,0.00,105251.59,105251.59,0.0000,持有
2015-01-23,2.70,6.91,0.7479,0.00,105251.59,105251.59,0.0000,持有
2015-01-26,2.74,7.00,0.8107,0.00,105251.59,105251.59,0.0000,持有
2015-01-27,2.70,6.91,0.7500,0.00,105251.59,105251.59,0.0000,持有
2015-01-28,2.58,6.59,0.4735,0.00,105251.59,105251.59,0.0000,持有
2015-01-29,2.58,6.60,0.4837,0.00,105251.59,105251.59,0.0000,持有
2015-01-30,2.57,6.57,0.4656,0.00,105251.59,105251.59,0.0000,持有
2015-02-02,2.65,6.78,0.6331,0.00,105251.59,105251.59,0.0000,持有
2015-02-03,2.62,6.70,0.5823,0.00,105251.59,105251.59,0.0000,持有
2015-02-04,2.57,6.57,0.4600,0.00,105251.59,105251.59,0.0000,持有
2015-02-05,2.44,6.22,0.3347,0.00,105251.59,105251.59,0.0000,持有
2015-02-06,2.46,6.27,0.3492,0.00,105251.59,105251.59,0.0000,持有
2015-02-09,2.50,6.39,0.3953,0.00,105251.59,105251.59,0.0000,持有
2015-02-10,2.44,6.24,0.3346,0.00,105251.59,105251.59,0.0000,持有
2015-02-11,2.40,6.12,0.3176,0.00,105251.59,105251.59,0.0000,持有
2015-02-12,2.52,6.44,0.4141,0.00,105251.59,105251.59,0.0000,持有
2015-02-13,2.53,6.46,0.4163,0.00,105251.59,105251.59,0.0000,持有
2015-02-16,2.57,6.56,0.4612,0.00,105251.59,105251.59,0.0000,持有
2015-02-17,2.54,6.49,0.4363,0.00,105251.59,105251.59,0.0000,持有
2015-02-25,2.63,6.71,0.6115,0.00,105251.59,105251.59,0.0000,持有
2015-02-26,2.75,7.02,0.8391,0.00,105251.59,105251.59,0.0000,持有
2015-02-27,2.74,6.99,0.8053,0.00,105251.59,105251.59,0.0000,持有
2015-03-02,2.83,7.24,0.9240,0.00,105251.59,105251.59,0.0000,持有
