日期,操作类型,成交价格,数量,金额,当前估值,估值分位点,目标仓位,手续费
2015-01-06,买入,2.22,8956,19858.98,6.16,28.51%,0.20,0.00
2015-01-15,卖出,2.80,-8956,25110.57,6.99,90.64%,0.00,0.00
2016-05-31,买入,5.13,4123,21141.31,6.92,27.02%,0.20,0.00
2016-06-24,买入,5.00,6368,31820.43,6.44,19.97%,0.50,0.00
2016-09-13,买入,5.10,6115,31191.39,5.59,9.18%,0.80,0.00
2016-12-29,买入,4.65,4539,21096.59,4.68,0.70%,1.00,0.00
2019-02-01,卖出,13.20,-10572,139573.44,7.33,75.00%,0.50,0.00
2019-02-18,卖出,16.17,-968,15655.79,9.25,81.71%,0.50,0.00
2019-03-06,卖出,20.20,-9605,194006.90,11.31,91.38%,0.00,0.00
2021-06-16,买入,58.09,1217,70695.29,5.67,29.57%,0.20,0.00
2021-06-22,买入,50.75,2169,110068.46,5.10,12.44%,0.50,0.00
2021-07-20,买入,48.10,2127,102309.23,4.93,7.09%,0.80,0.00
2021-07-28,买入,39.45,1663,65601.34,3.84,0.82%,1.00,0.00
