日期,操作类型,成交价格,数量,金额,当前估值,估值分位点,目标仓位,手续费
2015-08-26,买入,11.24,8893,99990.76,1.34,5.96%,1.00,5.00
2018-01-25,卖出,18.04,-2667,29987.11,1.84,71.64%,0.70,2.41
2018-06-20,买入,13.71,3478,47676.10,1.36,9.15%,1.00,2.38
2019-02-26,卖出,20.89,-2896,35119.60,1.94,77.70%,0.70,3.02
2019-03-07,卖出,21.68,-3932,47683.10,2.12,83.82%,0.30,4.26
2020-07-09,卖出,27.12,-444,5384.36,2.41,88.78%,0.30,0.60
2022-03-16,买入,18.14,945,17146.90,1.60,29.79%,0.30,0.86
2022-04-27,买入,16.55,8418,139277.43,1.41,9.69%,1.00,6.96
2024-11-08,卖出,35.89,-8240,129881.84,1.98,80.94%,0.30,14.79
2025-04-08,买入,23.90,1259,30090.53,1.38,20.86%,0.30,1.50
