日期,操作类型,成交价格,数量,金额,当前估值,估值分位点,目标仓位,手续费
2015-08-26,买入,11.24,8893,99990.76,1.34,5.96%,1.00,5.00
2015-08-27,买入,11.43,912,10428.23,1.43,3.02%,1.00,0.52
2015-08-28,买入,11.71,816,9554.60,1.47,13.20%,1.00,0.48
2015-09-01,买入,11.14,871,9700.30,1.41,8.74%,1.00,0.49
2015-09-02,买入,11.15,890,9925.48,1.38,10.74%,1.00,0.50
2015-09-07,买入,11.33,916,10376.14,1.37,7.08%,1.00,0.52
2015-09-08,买入,11.14,889,9900.76,1.42,6.36%,1.00,0.50
2015-09-09,买入,11.70,870,10180.26,1.46,11.57%,1.00,0.51
2015-09-11,买入,11.57,859,9940.15,1.40,10.34%,1.00,0.50
2015-09-14,买入,11.50,872,10030.72,1.29,8.41%,1.00,0.50
2015-09-15,买入,10.49,938,9838.29,1.26,1.64%,1.00,0.49
2015-09-16,买入,10.19,981,9997.46,1.34,0.21%,1.00,0.50
2015-09-28,买入,10.12,998,10102.19,1.25,0.00%,1.00,0.51
2018-01-25,卖出,18.04,-5529,61719.78,1.84,71.64%,0.70,4.99
2018-06-20,买入,13.71,7936,108785.95,1.36,9.15%,1.00,5.44
2019-02-26,卖出,20.89,-6255,75537.36,1.94,77.70%,0.70,6.53
2019-03-07,卖出,21.68,-9163,110655.29,2.12,83.82%,0.30,9.93
2020-07-09,卖出,27.12,-1034,12486.91,2.41,88.78%,0.30,1.40
2022-03-16,买入,18.14,2201,39936.85,1.60,29.79%,0.30,2.00
2022-04-27,买入,16.55,20194,334113.61,1.41,9.69%,1.00,16.71
2024-11-08,卖出,35.89,-19511,307671.12,1.98,80.94%,0.30,35.01
2025-04-08,买入,23.90,3019,72155.12,1.38,20.86%,0.30,3.61
